alumno.pret;sexo.pret;coleg.pret;curso.pret;grup.pret;pais.pret;ren.mat.pret;ren.leng.pret;ECE1.pret;ECE2.pret;ECE3.pret;ECE4.pret;ECE5.pret;ECE6.pret;ECE7.pret;ECE8.pret;ECE9.pret;ECE10.pret;ECE11.pret;ECE12.pret;ECE13.pret;ECE14.pret;ECE15.pret;ECE16.pret;ECE17.pret;ECE18.pret;ECE19.pret;IEA1.pret;IEA2.pret;IEA3.pret;IEA4.pret;IEA5.pret;IEA6.pret;IEA7.pret;IEA8.pret;IEA9.pret;IEA10.pret;IEA11.pret;IEA12.pret;IEA13.pret;IEA14.pret;IEA15.pret;IEA16.pret;IEA17.pret;IEA18.pret;IEA19.pret;IEA20.pret;IEA21.pret;IEA22.pret;IEA23.pret;IEA24.pret;IEA25.pret;IEA26.pret;IEA27.pret;IEA28.pret;PRE_Emotion_Engage;PRE_Cognitive_Engage;PRE_Behavior_Engage;PRE_Enviroment_Manage;PRE_Information_help_Manage;PRE_Maladapative_Behavior;PRE_Time_Manage;PRE_ENG_EMOC;PRE_ENG_COGN;PRE_ENG_COND;ZPRE_ENG_EMOC;ZPRE_ENG_COGN;ZPRE_ENG_COND;LPA_4perfiles;LPA_3perfiles;Gestión_Entorno;Gestión_Tiempo;Desadaptativo;Gesti_Infor;enviroment_manag;time_manag;maladaptative_behavior;informati_manag
13;2;13;5;1;1;5;5;2;5;5;5;4;5;4;2;1;2;2;3;3;1;1;2;4;5;3;5;4;5;5;5;4;5;5;5;1;2;1;1;5;5;5;5;3;1;2;5;5;1;5;5;1;5;5;-,475651952429984;-,886511883603058;1,38708276076381;-,163280493579995;1,57839994954126;-,518099277625259;,831838076019841;3,2;2,42857142857143;5;-,449799652032208;-,632543450137276;1,32295142307639;3;2;,00748557124193769;,9806488949821;-,669920502337942;1,5947982991338;4,8;4,66666666666667;1,28571428571429;5
14;2;13;5;1;1;4;4;3;5;5;4;5;4;5;4;1;3;3;3;5;4;1;4;4;5;2;5;5;5;1;4;4;4;3;5;1;3;1;1;3;1;5;5;4;1;2;5;4;1;5;4;1;5;5;,886602845322996;-,245994591334231;,346751428076439;1,17009982432865;-1,49267627325427;-,915893237793143;1,02911601404387;4,4;3;4,5;,867354434005637;,108312234612546;,524980723443018;4;1;,539968834807276;,608782794129209;-1,06845972388145;-,585784233419525;4,8;4,33333333333333;1,42857142857143;3,42857142857143
15;2;13;5;1;1;4;4;5;4;3;4;5;4;3;2;1;1;2;3;4;5;4;3;5;4;5;5;5;5;5;5;5;5;5;5;5;1;1;5;5;5;5;5;1;1;1;5;5;1;5;5;1;5;5;-,0206498394365085;1,16678253889152;-1,01735154362795;,87416943260124;1,72595576792299;,815034550102092;,0389952579314732;3,6;3,57142857142857;3,75;-,010748290019593;,849167919362369;-,671975326007045;3;2;1,176919147354;,733898845577407;,382475243032613;1,26958039605455;5;4,55555555555556;2,14285714285714;5
16;1;13;5;1;1;5;4;4;4;3;4;3;4;4;3;4;2;5;4;5;4;4;4;4;5;4;4;4;5;4;4;4;3;4;4;5;3;1;1;4;3;4;5;4;1;1;5;4;1;5;5;1;5;5;-,183788916087413;1,95639112791886;-,726697556491873;,101294842685442;,486297909491799;,709747864550883;,881511679613966;3,6;4,14285714285714;4;-,010748290019593;1,59002360411219;-,272989976190358;3;1;-,480658583648612;1,18615189276237;-,255528938896589;,68078649126508;4;4,44444444444444;1,85714285714286;4,28571428571429
17;1;13;5;1;1;5;4;1;2;5;3;1;4; ;3;2;4;2;1;2;3;2;2;1;5;2;5;4;2;4;4;1;2;4;5;2;5;3;1;4;2;3;5;1;1;2;3;2;1;4;5;2;4;5;-1,26562636660192;-1,10778898713804;,106030088608055;-,364779359573382;-,208140616258233;-,273642302193489;,103039516937269;3,60979228486647;1,85714285714286;4,25;3,41211451769608E-15;-1,3733991348871;,12599537362633;3;2;-,787525905335251;-,532028600872929;-,36858206181551;,355533609008039;3,4;3,44444444444444;2,28571428571429;3,71428571428571
18;1;13;5;1;1;4;4;1;3;4;4;2;2;3;4;1;2;2;2;3;4;3;2;4;3;4;5;5;5;5;5;4;5;5;5;3;5;3;3;1;5;5;5;1;3;2;4;2;1;5;5;1;5;4;-,203217016313222;-,687649801315191;-,992128827273339;,718731665170525;,684758919821308;,877227205560089;,264251582848829;3;2,42857142857143;3,25;-,669325333038516;-,632543450137276;-1,46994602564042;3;2;,729612181202323;-,00926145541151909;,764524208734043;,94053645904213;4,8;4;2,85714285714286;4,42857142857143
19;2;13;5;1;1;4;4;2;5;5;4;4;5;5;3;4;1;5;3;5;5;1;5;5;5;4;5;5;4;4;5;3;4;5;5;1;1;1;5;5;4;5;5;3;1;1;3;5;1;5;5;1;3;5;,544001214911727;1,08571871644302;,671868517450658;,458077486181544;,481843279250628;-,792756765770868;,562258461954039;4,4;4;4,75;,867354434005637;1,40480968292473;,923966073259706;4;1;,705155687559109;,422354929979708;-,744791954883011;,314067565304513;4,4;4,33333333333333;1,57142857142857;4,57142857142857
20;2;13;5;1;1;5;5;3;5;5;5;5;5;5;5;2;1;3;3;4;5;1;5;5;5;2;5;5;5;1;5;4;4;4;4;1;3;1;1;5;2;5;5;4;1;2;5;4;1;5;4;1;5;5;1,50173936872533;-,0494434673978439;,703493728527376;1,16002692261177;-,749646467073611;-,716155129041036;,910134215562499;5;3,28571428571429;5;1,52593147702456;,478740076987457;1,32295142307639;4;1;,653540013942118;,563492807883112;-,890383232021321;-,00798043978157345;4,8;4,33333333333333;1,42857142857143;4
21;1;13;5;1;1;4;3;4;5;4;4;3;4;4;2;3;2;3;4;4;4;2;4;4;4;3;4;4;5;5;3;3;4;1;1;2;3;2;1;5;5;4;5;3;1;2;3;4;1;5;5;2;5;5;-,462190833654288;1,40446271245514;-,486964864611174;-,153308096928341;1,9680113736071;,0441373459577499;-1,46564392319995;3,4;3,71428571428571;4;-,230273971025901;1,03438184054982;-,272989976190358;3;2;-,0366872547195994;-,715613510736818;-,299868994492838;1,49236195488541;3,8;3,55555555555556;1,85714285714286;4,71428571428571
22;1;13;5;1;1;4;3;1;5;4;4;4;2;3;3;1;2;2;1;3;4;4;3;4;5;1;1;1;4;1;1;1;1;2;1;1;1;5;5;2;2;1;5;4;1;2;1;1;2;1;2;2;1;4;,438459104667747;-1,3329710080835;-,507255407391117;-3,5118988000119;-,661512055481117;-1,17307867636876;-,462886789439284;3,4;2,14285714285714;3,75;-,230273971025901;-1,00297129251219;-,671975326007045;3;2;-3,00014752368603;-1,11921689690411;-,176988968157884;-,919160844675465;1;1,88888888888889;2,42857142857143;2,71428571428571
