alumno.pret;sexo.pret;coleg.pret;curso.pret;grup.pret;pais.pret;ren.mat.pret;ren.leng.pret;ECE1.pret;ECE2.pret;ECE3.pret;ECE4.pret;ECE5.pret;ECE6.pret;ECE7.pret;ECE8.pret;ECE9.pret;ECE10.pret;ECE11.pret;ECE12.pret;ECE13.pret;ECE14.pret;ECE15.pret;ECE16.pret;ECE17.pret;ECE18.pret;ECE19.pret;IEA1.pret;IEA2.pret;IEA3.pret;IEA4.pret;IEA5.pret;IEA6.pret;IEA7.pret;IEA8.pret;IEA9.pret;IEA10.pret;IEA11.pret;IEA12.pret;IEA13.pret;IEA14.pret;IEA15.pret;IEA16.pret;IEA17.pret;IEA18.pret;IEA19.pret;IEA20.pret;IEA21.pret;IEA22.pret;IEA23.pret;IEA24.pret;IEA25.pret;IEA26.pret;IEA27.pret;IEA28.pret;PRE_Emotion_Engage;PRE_Cognitive_Engage;PRE_Behavior_Engage;PRE_Enviroment_Manage;PRE_Information_help_Manage;PRE_Maladapative_Behavior;PRE_Time_Manage;PRE_ENG_EMOC;PRE_ENG_COGN;PRE_ENG_COND;ZPRE_ENG_EMOC;ZPRE_ENG_COGN;ZPRE_ENG_COND;LPA_4perfiles;LPA_3perfiles;Gestión_Entorno;Gestión_Tiempo;Desadaptativo;Gesti_Infor;enviroment_manag;time_manag;maladaptative_behavior;informati_manag
1;2;1;6;1;1;4;4;1;3;4;4;5;4;4;4;2;1;4;5;4;2;1;4;5;3;5;4;4;5;5;5;3;5;5;3;2;1;3;1;1;5;5;4;5;1;2;4;3;2;4;4;1;4;4;,898925139743621;,250574612932577;-,668173397296519;-,148342409240577;,248992339454063;,0869521604102638;,988319147979237;4,4;3,14285714285714;3,75;,867354434005637;,293526155800002;-,671975326007045;3;2;-,474414309733252;,652384090585314;-,168163000825591;,516849684237879;4,4;3,88888888888889;1,57142857142857;4,14285714285714
2;1;1;6;1;1;4;3;2;5;4;4;1;4;2;1;1;4;5;4;5;4;2;4;2;4;5;5;5;5;4;4;4;2;3;4;1;5;1;4;4;4;5;4;3;1;1;3;4;1;4;5;2;3;5;-2,47121392634286;1,50596375103944;,555726427971537;,66276813496174;,343655889199938;-,794889407297272;-,265666767331317;2;3,71428571428571;4;-1,76695373807005;1,03438184054982;-,272989976190358;3;2;,823248749215524;-,298384767032879;-,329051079518784;,0487188491419383;4;3,88888888888889;2,14285714285714;4,28571428571429
3;2;1;6;1;1;4;4;3;4;5;3;4;5;4;3;5;2;4;3;5;4;2;4;5;4;4;4;5;5;4;4;4;4;2;4;1;3;1;2;3;4;5;3;4;1;3;4;4;1;3;5;1;4;5;,261453695852311;1,43763063172091;-,497914506661163;,309021271646678;,128115588200403;-,137405480100304;,0146682902831534;4;3,85714285714286;4,25;,428303071993022;1,21959576173728;,12599537362633;4;1;,389497415364482;,0930868421355208;-,406283140039057;,0360967080573609;4,4;3,88888888888889;1,71428571428571;4
4;2;1;6;1;1;3;3;2;4;4;4;3;3;3;3;1;3;2;4;4;2;2;3;3;4;3;4;4;4;2; ;5;4;4;3;2;2;2;3;4;4;4;2;3;2;2;1;4;2;3;4;2;3;4;-,542139175402318;-,19963988513003;-,485535218283371;-,0706820039734175;-,750175184959336;,319066401392717;,230952942356844;3;2,57142857142857;3,75;-,669325333038516;-,44732952894982;-,671975326007045;3;2; ; ; ; ;3,4;3,66666666666667;2,14285714285714; 
5;1;1;6;1;1;5;3;3;4;4;4;4;4;3;5;1;3;4;1;5;4;2;4;4;5;4;5;5;4;4;5;4;1;4;5;1;3;2;1;4;5;4;4;4;1;1;4;3;1;4;4;3;4;3;,533748535654201;-,0525618222004994;-,0403566655717173;,124193592055745;,268893597036424;-,777304970985745;,922293734356536;4;3;4,25;,428303071993022;,108312234612546;,12599537362633;3;2;-,594399542967153;,356198864283006;-,395465283895355;,665494077551747;3,8;3,88888888888889;1,71428571428571;4,42857142857143
6;2;1;6;1;1;3;4;4;5;5;4;4;3;4;4;3;2;4;3;3;4;1;3;4;4;3;4;5;5;5;5;3;4;3;5;2;4;1;5;4;4;5;4;3;4;2;4;4;2;4;4;1;4;5;,100899432040426;1,02610225530669;-,372508084946109;,329203556777203;,691921946008006;,933676640586285;,290471877081656;3,8;3,71428571428571;4;,208777390986714;1,03438184054982;-,272989976190358;3;2;,872059134758624;,225329670608781;,959585670626874;,281811836931447;4,4;3,88888888888889;2,71428571428571;4,42857142857143
7;2;1;6;1;1;4;5;2;3;4;3;4;4;4;3;1;3;3;1;4;3;2;2;3;3;2;4;4;5;3;2;2;1;5;2;1;4;2;4;4;4;3;4;1;3;1;4;2;2;4;2;1;3;3;,00699062632587072;-,818675411723798;-1,04498289016627;-,585871632321104;,361300725288059;-,340659667504155;-,553729784981441;3,2;2,14285714285714;3,5;-,449799652032208;-1,00297129251219;-1,07096067582373;3;2;-,141584473730751;-1,34701559242788;,405443072606467;,0505914812935748;3,2;2,66666666666667;2,28571428571429;3,71428571428571
8;1;1;6;1;1;2;3;4;5;5;5;2;5;1;2;1;5;5;4;5;1;1;2;1;4;5;5;5;5;5;5;5;3;1;5;1;3;1;1;5;5;5;5;5;2;2;5;5;1;5;5;1;5;5;-3,1256626142073;1,47411083327155;1,43843741085185;,539374248431306;1,33403154665717;-,037552412905374;,3052038022353;1,6;3,57142857142857;4,75;-2,20600510008267;,849167919362369;,923966073259706;2;2;,489947040292956;,71257545857877;-,351932558297616;1,17985085721083;4,6;4,55555555555556;1,57142857142857;5
9;2;1;6;1;1;2;3;2;5;5;3;3;4;2;3;2;4;2;1;4;3;2;4;3;1;4;5;4;2;1;1;4;1;3;1;1;5;2;4;5;3;1;4;1;1;3;4;4;1;1;4;5;1;4;-,767719314508907;,283735275144201;-1,09407493220733;-,559869486991923;-,619296778282199;-,0978992101848196;-1,71778173443442;3;2,71428571428571;3,25;-,669325333038516;-,262115607762365;-1,46994602564042;3;2;-,600685781632819;-1,39457646331514;,709049731886874;-,328946162271982;3;2,55555555555556;3;3
10;2;1;6;1;1;1;1;5;5;5;5;5;5;4;5;1;3;5;5;5;5;1;5;5;5;5;5;5;5;5;3;3;4;1;5;1;5;1;3;4;5;5;5;4;1;1;1;5;1;5;5;1;5;5;,591393486088258;1,67786079314222;1,02041924855208;,495803177672759;1,17405233871513;-,865716805883169;-,00616649968085903;4,8;4,42857142857143;5;1,30640579601825;1,9604514464871;1,32295142307639;4;1;,751711259800463;-,31228339297825;-,605177882723501;,748726743533264;4;4,22222222222222;1,85714285714286;4,57142857142857
11;2;1;6;1;1;5;5;3;5;5;5;5;4;5;4;2;2;5;5;5;3;1;5;5;5;2;5;5;5;2;5;5;5;3;4;1;2;3;3;5;5;5;5;3;1;1;5;5;1;5;4;1;4;4;1,07539468604002;,442441328307062;,714537220295834;,816595575194041;,50306526605951;-,945759714709547;-,0828533848329022;4,8;3,57142857142857;4,75;1,30640579601825;,849167919362369;,923966073259706;4;1;1,23366081318084;-,137221482839036;-,220732981809297;,842617732144238;5;4,11111111111111;1,71428571428571;4,57142857142857
12;2;1;6;1;1;3;3;2;4;5;4;2;4;3;3;1;3;4;3;3;2;2;3;3;3;2;3;4;3;4;2;2;3;2;3;2;3;3;2;3;3;4;3;3;2;2;3;3;3;3;4;2;3;3;-,982454357314664;-,224032435262634;,120014002247578;-,547666117737114;-,468509203970422;,266644527317457;-,405658651043014;2,8;2,57142857142857;4;-,888851014044823;-,44732952894982;-,272989976190358;3;2;-,521262330461676;-,692271235818072;,524181211571305;-,572891263894872;3,4;2,88888888888889;2,28571428571429;3
13;2;1;6;1;1;5;4;1;4;5;4;3;5;3;3;1;3;4;2;4;3;2;4;3;2;2;4;5;5;2;5;2;4;1;4;2;2;2;3;4;2;4;4;3;1;3;4;5;1;4;4;2;4;4;-,525171441211064;-,477018932379805;,0435572632574879;,473795402536403;-,364790457582731;-,0500138025406416;-,473372025165008;3,2;2,42857142857143;4;-,449799652032208;-,632543450137276;-,272989976190358;3;2;,391592677453864;-,569124466067301;-,0716895279502227;,251300513097788;4,2;3,44444444444444;2,14285714285714;3,85714285714286
14;1;1;6;1;1;3;3;2;5;5;4;4;4;4;4;1;3;5;5;5;4;2;5;4;4;5;4;5;4;2;4;5;4;2;4;2;2;1;2;4;4;5;4;2;1;2;1;5;5;5;4;1;4;5;,0921761913899545;1,01654327275779;,540312809926027;,653680438692359;-,109543776087165;-,265975329500751;-,563166435515259;4,2;3,85714285714286;4,25;,64782875299933;1,21959576173728;,12599537362633;4;1;1,02985426388214;,206756673434644;-,400380029447615;-1,2176269343704;3,8;4;1,57142857142857;3,28571428571429
15;2;1;6;1;1;4;5;2;4;5;2;1;5;3;2;2;4;4;4;5;1;1;3;3;5;3;4;5;2;3;4;5;5;3;1;1;5;1;4;5;2;5;3;1;1;2;5;3;2;5;3;1;5;5;-1,60132178006583;,453546607745916;,262836263505812;,947668541289178;-,806114882376658;-,338094801817248;-1,14930802593296;2,4;2,85714285714286;4,25;-1,32790237605744;-,0769016865749092;,12599537362633;3;2;1,42096262739463;-,772827075905047;,0302519960572225;-,535810152675712;4,8;3,44444444444444;2,14285714285714;3,28571428571429
16;2;1;6;1;1;4;4;3;4;4;4;3;4;4;3;2;2;4;3;4;3;2;4;4;3;4;3;4;3;3;4;3;4;5;3;1;2;2;2;4;3;4;5;3;2;2;3;4;2;4;4;2;3;4;-,158574179653748;,725668097900405;-,530875920694905;-,722254954893441;-,211710055965921;-,273239594756012;,388654196628113;3,6;3,28571428571429;3,75;-,010748290019593;,478740076987457;-,671975326007045;3;2;-,905992917585754;,292950632655882;-,352560605393097;,145060060042683;3,6;3,66666666666667;1,85714285714286;3,71428571428571
17;2;1;6;1;1;4;4;4;4;3;5;5;4;5;4;3;2;4;4;4;3;2;4;4;4;4;4;4;5;4;5;3;4;3;5;1;5;2;2;4;3;4;5;3;1;2;4;3;2;4;5;1;3;4;,835920911238531;1,14872841931123;-,733642500720262;-,667070903847757;,651466213105828;-,803607914343076;,131774764188505;4,4;3,71428571428571;4;,867354434005637;1,03438184054982;-,272989976190358;4;1;-,202013671088926;-,174457890571642;-,277944903270564;,843175705508428;4;3,66666666666667;2;4,28571428571429
18;1;1;6;1;1;3;3;3;4;4;4;4;4;4;4;2;2;3;3;3;3;2;4;4;4;4;5;5;5;5;5;3;3;4;5;1;5;1;3;4;4;5;4;4;1;2;3;3;2;4;5;1;5;5;,439794815200701;,384438890779879;-,471005545760476;,458178311334143;,618827012904189;-,443672722535707;,94199315702087;4;3,14285714285714;4;,428303071993022;,293526155800002;-,272989976190358;3;2;,58485467343642;,431409483945187;-,167646350262783;,212814597569868;4,2;4,22222222222222;2;4,42857142857143
19;2;1;6;1;1;4;4;2;5;5;4;5;4;4;3; ;2;5;4;5;4;1;4;4;5;3;5;5;5;5;4;4;5;5;5;1;4;2;1;5;5;5;5;5;1;2;5;5;1;5;4;1;5;4;,189508461855219;,541774760890764;,576870072529261;,337404304854178;1,2304211788403;-,341026972409539;1,43601803204531;4;2,91645781119465;4,5;,428303071993022;-5,75760527393582E-16;,524980723443018;3;2;,215333676001128;,744382897741798;,0145358657575275;1,78803984117678;5;4,66666666666667;1,71428571428571;4,85714285714286
20;2;1;6;1;1;4;4;2;2;5;4;2;3;4;2;1;4;5;3;5;2;1;4;3;4;2;2;4;5;4;3;3;3;4;4;3;3;1;2;4;3;2;2;2;2;2;4;2;4;5;4;3;2;5;-,694706083164028;-,455995184073764;,157512002873503;-1,82675666536726;,286175266587781;,345472562146539;,000561700253447241;3;2,42857142857143;4;-,669325333038516;-,632543450137276;-,272989976190358;3;2;-1,25946341422344;,711622755221179;,33236358489879;-,583014620935989;3;3,44444444444444;2,28571428571429;3,28571428571429
21;1;1;6;1;3;1;3;1;5;5;5;5;5;4;4;1;3;4;5;4;3;1;4;5;4;4;5;5;3;3;3;3;3;4;5;1;2;3;3;4;5;5;4;4;2;2;4;5;4;4;4;1;3;5;,600649161645241;-,0199220891336671;1,0387760528733;,611743645418564;-,312602970218807;,0555146713256311;,791520081413186;4,4;3,28571428571429;4,75;,867354434005637;,478740076987457;,923966073259706;4;1;1,03505144708493;,474878284385749;,616351451067412;-,970920643865998;4,4;4,11111111111111;2;3,42857142857143
22;1;1;6;1;1;1;2;2;3;4;5;1;5;1;1;1;5;2;2;1;2;3;4;2;2;3;4;3;2;1;5;3;2;2;1;1;3;1;2;4;3;2;4;3;2;2;4;3;2;3;4;5;3;5;-2,16213453466343;-,160478672293752;-,0339855885598488;-,882080795933996;-1,10532274366326;-,19344836661015;-,681840191049973;1,8;2,14285714285714;4;-1,98647941907636;-1,00297129251219;-,272989976190358;2;3;-1,19983611874128;,11094140945592;-,145421808742825;-,839876868200945;3;3;2,28571428571429;3,28571428571429
23;1;1;6;1;1;2;4;2;3;5;3;3;3;3;3;1;3;4;5;5;3;3;3;3;3;4;5;5;5;3;5;4;4;4; ;2;1;3;2;3;3;4;2;2;1;2;2;3;2;3;3;2;4;3;-,886522878795943;,63714283992103;-,61654077965082;,674927061815041;-,709584377618001;-,133820071640741;,0462263857890014;3;3,14285714285714;3,5;-,669325333038516;,293526155800002;-1,07096067582373;3;2; ; ; ; ;4; ;1,85714285714286;3,57142857142857
24;2;1;6;1;1;4;3;3;5;5;5;4;4;4;4;1;2;4;4;4;4;2;4;4;4;4;4;4;5;4;4;4;5;5;5;1;1;1;2;3;4;5;4;3;2;1;3;4;1;2;3;4;5;5;,0437931917417835;,595310164551534;,725852450669798;-,30089992819979;,1459559294617;-,75395558666583;1,24429625596775;4;3,57142857142857;4,5;,428303071993022;,849167919362369;,524980723443018;4;1;-,853814976153327;,964695080581728;-,397439931224981;,391249372924983;4,2;4;1,71428571428571;4,14285714285714
25;2;1;6;1;1;5;5;5;5;5;5;4;4;4;5;4;2;3;1;5; ;3;4;5;5;5;4;4;4;4;4;4;4;3;5;2;3;1;5;4;1;5;5;3;1;2;1;3;1;5;4;2;3;5;,72225892944399;,841019297060655;,36916618550588;,0104355032983406;-,221362997681674;-,301482463910046;,208645770068732;4,4;2,91645781119465;4,75;,867354434005637;-5,75760527393582E-16;,923966073259706;4;1;-,290376963266651;,164427253736388;-,532624643977035;-,00211449138464689;3,6;3,88888888888889;2,28571428571429;3,85714285714286
1;2;1;5;1;1;4;5;1;5;5;5;1;5;5;1;1;5;4;2;4;4;1;3;1;4;2;3;4;2;4;5;3;2;1;2;2;5;5;2;3;1;2;5;1;3;4;1;3;1;3;1;4;1;5;-1,94041516702484;-,330170239636057;1,68403045254583;-1,02504085253493;-,262467211331901;1,16750889107294;-2,06122728385408;2,2;2,71428571428571;4,75;-1,54742805706375;-,262115607762365;,923966073259706;2;2;-1,74110862608462;-1,94848001090264;,949999339765693;1,09958805092117;2,4;2,22222222222222;3,57142857142857;3,57142857142857
2;1;1;5;1;1;4;4;3;3;5;4;4;4;4;3;3;1;4;3;3;2;1;3;4;4;3;3;4;4;4;4;4;4;3;4;2;1;1;2;3;4;4;3;3;2;1;3;4;1;4;4;2;4;4;,000767907240409971;,244781269837564;-,133965278640329;-,75364508602497;-,0830742550668126;-,24832301633588;,349514145346933;3,6;3;4,25;-,010748290019593;,108312234612546;,12599537362633;3;2;-,935142160256681;,574863839275294;-,657326863614716;,0284505675563072;3,6;3,77777777777778;1,57142857142857;3,85714285714286
3;2;1;5;1;1;3;4;2;4;5; ;5;5;4;5;3;1;5;4;3;4;1;5;5;5;4;5;5;5;4;5;4;4;5;4;3;4; ;2;4;5;5;5;4;2;1;4;5;1;5;4;1;5;5;1,09303213620117;,693618380500219;,515900783032428;,928866478890467;,665745424935998;,467346382073215;,983303207191964;4,8;3,71428571428571;4,17105263157895;1,30640579601825;1,03438184054982;8,5048842596085E-15;4;1; ; ; ; ;4,6;4,55555555555556; ;4,71428571428571
4;1;1;5;1;1;4;3;4;5;5;5;5;5;4;4;4;1;5;5;5;4;1;5;5;5;5;5;5;5;5;5;5;4;3;5;1;1;1;4;5;5;4;4;5;1;1;5;5;1;5;5;1;5;5;,455157462564286;2,02734907971395;,762550592834205;,0766051608672799;1,00347036434229;-,74183806825404;1,01990048266212;4,6;4,57142857142857;5;1,08688011501194;2,14566536767456;1,32295142307639;4;1;,501193198052616;1,32247166906828;-,506161553129711;,602348216487377;4,6;4,77777777777778;1,42857142857143;4,85714285714286
5;1;1;5;1;1;3;2;3;4;3;3;1;3;3;3;1;3;4;1;1;5;4;3;2;3;1;3;2;5;4;3;1;3;3;1;3;5;2;3;4;2;2;4;2;3;4;4;3;3;1;1;3;1;4;-1,04953870710942;,300238247703209;-1,5757924755469;-1,87838486228177;,785386753993666;1,60916798924915;-1,38135670894552;2,4;2,71428571428571;3;-1,32790237605744;-,262115607762365;-1,86893137545711;1;3;-1,58204599526335;-1,50761040873452;1,81501230735365;1,03197982629868;2,8;1,88888888888889;3,28571428571429;3,57142857142857
6;1;1;5;1;1;4;2;4;4;4;3;4;5; ;4;2;4;4; ;3;1;2;4;3;4;4;4;5;5;4;4;4;5;3;4;1;4;4;1;4;4;4;4;4;1;4;4;4;4;4;4;2;5;4;-,0302171522145772;,80449813983098;-,570155771938084;-,0884433151894511;,751535215030693;,132138004695504;,389618558118287;3,60979228486647;2,91645781119465;4;3,41211451769608E-15;-5,75760527393582E-16;-,272989976190358;3;2;,270590981164119;,30366921210945;,97076832945823;,57712470603485;4,4;4;2,42857142857143;3,85714285714286
7;1;1;5;1;1;1;3;3;5;5;3;1;4;4;3;1;2;5;4;4;3;1;2;3;5;4;5;4;5;4;4;3;4;4;4;1;1;1;4;4;5;4;4;2;1;1;4;5;3;1;2;5;2;2;-1,5729568567404;,940229610671648;,723915446230379;-,333398985195959;,858930464098174;-,865136701245965;-,416426017225547;2,6;3,57142857142857;4,25;-1,10837669505113;,849167919362369;,12599537362633;3;2;-,21806306494357;-,727355124774132;,669573261032596;,891791622186963;4,2;2,77777777777778;2;4,14285714285714
8;2;1;5;1;1;3;4;2;4;5;5;3;2;3;3;2;1;4;3;5;1;1;3;4;5;4;5;5;4;3;4;5;5;1;4;1;3;1;3;4;1;5;4;3;1;1;4;5;1;5;4;1;5;5;-,44940720482913;-,253600673400481;,577606295200464;1,16646672477396;-1,01193177227858;-1,00916381902925;-,212843714425473;3,2;2,85714285714286;4,25;-,449799652032208;-,0769016865749092;,12599537362633;3;2;1,09986288109222;-,0146934519077143;-,885044451438006;-,427399626069245;4,8;4,11111111111111;1,57142857142857;3,57142857142857
10;2;1;5;1;1;5;4;2;4;5;5;3;4;3;3;1;2;3;5;5;2;1;4;4;5;4;5;5;5;3;4;4;5;3;4;1; ;3;1;4;3;5;5;3;1;1;4;5;1;5;4;1;5;5;-,528194481416298;,0341630778916294;1,05973602709034;,910717495423636;-,00744258397477511;-1,02940476143765;,171636819604955;3,4;3;4,75;-,230273971025901;,108312234612546;,923966073259706;3;2; ; ; ; ;4,8;4,22222222222222; ;4,14285714285714
11;1;1;5;1;1;4;4;1;4;5; ;3;2;3;3;1;3;2;4;5;2;1;3;3;4;2;4;5;5;3;4;3;4;5;2;2;2;2;2;5;5;5;4;5;2;3;2;3;3;4;4;2;4;4;-,45382071082383;-,818693994878855;-,162609664727699;,666004832975579;,542976730759972;,936253219656251;,585039115583248;3;2,28571428571429;4,17105263157895;-,669325333038516;-,817757371324732;8,5048842596085E-15;3;2;,253855681238077;,336974810836645;,563665732493562;,0579081568593063;4;3,77777777777778;2,14285714285714;4,14285714285714
12;2;1;5;1;1;5;5;1;4;5;5;2;5;3;3;3;1;4;4;5;3;1;5;5;5;5;4;5;5;5;5;4;4;1;4;2;5;1;3;4;5;5;5;2;1;3;4;4;1;5;4;2;3;5;-,399727316756634;,506938023919004;1,29873494142712;,209731539924097;1,79292899364979;,237785728467707;-1,48688471594543;3,6;3,42857142857143;5;-,010748290019593;,663953998174913;1,32295142307639;4;1;,639662039078417;-,928592605091187;,228691773813635;1,74223916465309;4,4;3,55555555555556;2,42857142857143;4,85714285714286
13;1;1;5;1;1;4;3;2;2; ;4;2;3;2;2;4; ; ;2;4;3;3;2;3;4;4;2;4;4; ;3;2;3;2;2;1;2;2;3;2;4;4;3;3;2;3;3;4;2;4;3;2;3;3;-1,39855214374448;,458887583733614;-,562907014505788;-1,02652280388483;-,144698966621349;,0503781192358866;-,721122357861438;2,2;2,91645781119465;4,17105263157895;-1,54742805706375;-5,75760527393582E-16;8,5048842596085E-15;3;2; ; ; ; ;3,2;2,88888888888889;2,14285714285714; 
14;2;1;5;1;1;4;4;1;3;5;4;3;4;3;5;1;3;1;4;5;1;1;3;3;2;1;4;5;5;5;5;1;3;1;5;1;3;5;3;1;3;5;3;3;3;2;3;5;1;2;4;1;4;3;,149985915968677;-1,29177793493595;-,794557782754879;,321588137434754;-,437778460192726;,012027606722941;-,118301865719699;3,4;1,71428571428571;3,75;-,230273971025901;-1,55861305607455;-,671975326007045;3;2;,362941159993141;-1,15568738922215;,641117822440439;,222658206892864;4;3,11111111111111;2,57142857142857;3,85714285714286
15;1;1;5;1;1;4;4;2;5;5;5;4;5;5;3;4;3;5;5;4;1;2;5;5;5;5;5;5;5;5;5;4;5;5;1;1;1;1;1;4;4;5;5;4;1;2;5;5;1;5;5;1;5;5;,348260104135132;1,00014684757445;1,21824776583329;,916715768863056;,851518424776908;-,145358171054967;-,0173715063075885;4,4;3,85714285714286;5;,867354434005637;1,21959576173728;1,32295142307639;4;1;,543508129139945;,500346883509494;-,827144486972231;1,03669185055016;5;4,33333333333333;1,14285714285714;4,71428571428571
16;1;1;5;1;1;4;3;1;3;5;4;1;4;2;2;1;2;3;1;1;1;1;3;2;5;3;5;5; ;4;5;3;5;3;4;1;3;1;3;3;3;5;4;3;1;2;5;3;4;5;3;1;5;3;-1,72749973587649;-1,12471705417779;,918434118606402;,816982355502456;-,270196736730598;-,514059484761782;,190049007928121;2;1,85714285714286;4,5;-1,76695373807005;-1,3733991348871;,524980723443018;2;3; ; ; ; ;5;3,55555555555556;1,71428571428571; 
18;1;1;5;1;1;5;5;2;3;4;4;5;4;5;5;1;1;3;1;5;3;2;4;5;4;3;4;5;5;5;5;3;2;1;1;1;3;3;2;4;5;5;5;3;2;2;1;3;1;4;3;2;1;3;1,82448146091279;-1,19599698013138;-,538758346646606;,460380258143878;1,44989123808022;,18019143549183;-2,29054732588886;4,8;2,28571428571429;4;1,30640579601825;-,817757371324732;-,272989976190358;3;2;,0709449141246109;-2,32814156945386;-,0443659919128634;1,60492018337208;3,4;2,44444444444444;2,14285714285714;4,85714285714286
19;1;1;5;1;1;3;3;3;3;3;2;5;3;3;1;1;1;4;2;3;1;2;3;5;4;5;4;4;4;4;4;4;4;4;4;3;2;1;1;4;4;4;4;1;1;2;4;4;1;5;3;3;5;5;,0631759631545852;,201098820765722;-1,66680629033449;-,304362289594411;,741032156274494;,138498939217134;-,132337941549818;3,4;2,71428571428571;3;-,230273971025901;-,262115607762365;-1,86893137545711;3;2;-,694519304311623;,312928346936472;-,301473331341445;1,01737411195253;4;3,88888888888889;1,85714285714286;4,14285714285714
20;2;1;5;1;1;1;4;2;5;5;3;5;4;5;4;3;1;5;5;4;3;1;5;5;5;4;5;4;5;5;5;4;5;3;3;2;1;2;5;5;5;5;5;4;1;2;5;5;1;5;4;2;5;5;1,04897507378201;,982968115826055;,00431442805537579;,321969955844994;1,57996750665828;,137942302112972;-,0158990808499989;4,8;3,85714285714286;4,25;1,30640579601825;1,21959576173728;,12599537362633;4;1;,722377177158991;,467594016638984;,431620300044377;1,35805198388958;4,8;4,22222222222222;2,14285714285714;5
21;1;1;5;1;1;4;5;5;4;5;5;5;4;5;5;4;1;5;4;5;4;1;5;5;5;5;4;5;5;5;5;4;4;5;5;1;3;1;5;5;4;4;4;3;1;1;4;5;2;5;5;2;4;5;1,08796023801399;1,78347027887666;,305232410796658;-,407892930288312;,96934023692596;-,957759280559937;,799830032537585;5;4,42857142857143;4,75;1,52593147702456;1,9604514464871;,923966073259706;4;1;,335591945011915;1,02361695897488;-,167460545822281;,477002038662598;4,2;4,55555555555556;2;4,57142857142857
22;2;1;5;1;1;4;4;1;5;5;5;5;4;4;4;1;2;5;5;5;4;1;4;4;4;3;5;5;5;5;5;5;5;5;1;1;1;1;1;1;4;4;5;5;1;2;3;3;1;5;3;1;3;5;,391791678366243;,172997452126104;,8078714361375;,533106240043369;,033812245145069;-,146158442286643;,0993481065078915;4,2;3,42857142857143;4,5;,64782875299933;,663953998174913;,524980723443018;4;1;-,35007802559407;,285061142713313;-1,14740469566548;,639102331448345;4,4;3,88888888888889;1,14285714285714;4,28571428571429
1;1;2;5;1; ;5;4;3;4;5;5;4;4;4;3;4;1;4;4;5;3;1;4;4;4;3;4;5;5;3;5;4;4;4;5;1;3;1;4;4;5;5;5;1;1;1;4;4;1;5;4;1;4;5;-,00390759245850125;,922044580257456;,180840430386888;,0986846400589352;,887951038464001;-1,228068761994;-,186320806132728;3,8;3,57142857142857;4,5;,208777390986714;,849167919362369;,524980723443018;4;1;,780947957086629;-,180748813285479;-,700235113177279;,666855256557497;4,4;4;1,71428571428571;4,57142857142857
2;1;2;5;1;1;5;4;2;4;4;4;4;4;3;4;2;2;3;2;3;2;2;3;4;4;3;3;3;4;3;4;3;4;2;4;1;2;2;2;2;4;3;4;2;2;4;3;2;1;2;4;3;2;3;,285489059870629;-,40433481887145;-,460343111982468;-1,7147381310663;,23947179707647;,163411773028296;-,670244652448415;3,6;2,57142857142857;4;-,010748290019593;-,44732952894982;-,272989976190358;3;2;-1,72233960277362;-,648797755463119;,0171828206083867;,62146788568244;3,2;2,66666666666667;2,28571428571429;3,71428571428571
3;2;2;5;1;1;3;3;3;2;4;3;4;4;3;4;1;1;5;5;1;1;1;4;5;4;2;2;2;4;1;3;4;4;1;3;1;1;1;1;3;1;4;2;1;1;2;2;4;2;5;2;1;5;5;,60032532189831;,0894291601335224;-1,03463483944738;-1,55970698873733;-1,35494992147129;-1,26387877722535;-,493685846930851;4;2,71428571428571;3,75;,428303071993022;-,262115607762365;-,671975326007045;3;2;-1,30413393318941;,00460018708288402;-1,56194306967277;-1,24810365252658;2,8;3,33333333333333;1,14285714285714;2,57142857142857
4;2;2;5;1;1;2;3;2;5;5;3;4;3;4;4;4;2;4;2;4;3;1;5;4;4;2;4;4;4;3;4;2;4;2;4;2;2;3;4;2;2;4;4;2;2;3;3;3;2;4;4;2;3;3;,793652510094853;,330331058241878;-,843248029381364;-,102977659616955;-,688892143281783;,332572144887625;-,521459766153816;4,2;3,14285714285714;3,75;,64782875299933;,293526155800002;-,671975326007045;3;2;-,0904094357063682;-,746679254810093;,433277258417085;-,309764678740663;3,8;3;2,57142857142857;3,28571428571429
5;2;2;5;1;1;4;5;3;4;4;5;4;4;5;4;4;1;4;4;3;3;1;5;4;5;4;4;4;4;2;4;4;3;2;2;1;3;1;2;4;4;4;4;4;2;2;2;4;3;4;3;2;4;4;,714404771479289;,997884741730745;,0547184766964573;,0145513942387853;-,307632993834575;-,146914442810027;-,24015372187325;4,4;3,71428571428571;4,5;,867354434005637;1,03438184054982;,524980723443018;4;1;-,0974783010505566;-,0809766990324115;-,155647703485919;-,546675601616003;3,4;3,44444444444444;1,85714285714286;3,57142857142857
6;1;2;5;1;1;5;4;2;4;4;4;5;3;4;4;1;1;4;2;5;1;1;4;5;4;3;4;5;5;3;1;2;4;1;1;1;4;3;1;4;4;5;5;2;1;2;1;4;1;5;3;2;3;5;1,23343358593416;-,855299262892613;-,540690326532381;,756959430790901;,738174646813095;-,498021670887356;-2,11862229284586;4,4;2,42857142857143;3,75;,867354434005637;-,632543450137276;-,671975326007045;3;2;,607473436638069;-2,28035867856479;-,425290413728003;,781298731995843;3,8;2,88888888888889;2;3,85714285714286
