name,InDegree,OutDegree,Closeness_total,Betweenness,Eigen,Diffusion.degree,Coreness,Cross_clique_connectivity
42,10,9,0.000829187396351576,115.959281567659,0.0481324557859958,418,12,23
43,1,7,0.000791765637371338,13.5338943924032,0.0134537326922095,250,7,14
44,47,70,0.00114942528735632,3068.9224638793,0.468289190748718,2608,31,1168
45,1,2,0.00099009900990099,29.4644831774193,0.0193875217620294,684,3,5
46,2,9,0.000881057268722467,130.254015345183,0.0191762967829537,525,8,16
47,0,5,0.000855431993156544,15.5516045637759,0.0166120275610714,481,5,11
48,2,4,0.000987166831194472,51.7756650487379,0.0187293424409136,651,6,8
49,19,23,0.00108108108108108,1250.76967433837,0.148528364282238,1819,18,307
50,16,14,0.00106269925611052,484.352945224916,0.0999589520649787,1598,18,160
51,6,13,0.00103950103950104,32.6934911455405,0.0673800053407184,1185,18,43
52,4,13,0.000894454382826476,88.152123718673,0.042741203316431,728,14,64
53,19,16,0.000933706816059757,682.311194044751,0.0694507886747562,1323,18,336
54,14,28,0.00108342361863489,1345.39743632516,0.147961629052881,1744,18,255
55,0,4,0.000838222967309304,1.22987616099071,0.0226620069245557,361,4,5
56,4,20,0.000909918107370337,222.38062948108,0.0976355522609468,790,14,75
57,7,4,0.000989119683481701,305.870431749316,0.0369728966922472,739,9,13
58,23,16,0.00108225108225108,524.58962423376,0.124694544762991,1836,20,367
59,7,14,0.00106496272630458,971.38482972254,0.0581854175391531,1269,12,61
60,25,40,0.00110253583241455,2177.64291057466,0.236826789421901,2109,24,526
61,29,24,0.001085776330076,2184.51209820593,0.224175631037829,1770,21,326
62,16,17,0.00107181136120043,133.221658464531,0.125468037951903,1798,18,455
63,11,25,0.00105374077976818,109.5871077765,0.15534578843521,1480,18,151
64,26,19,0.00107066381156317,1835.1876540229,0.121771819353805,1623,18,288
65,1,2,0.000980392156862745,0,0.0185349570487644,629,3,4
66,4,4,0.00103626943005181,232.757700813491,0.033471862919715,1066,7,28
67,21,9,0.00108108108108108,961.213589833231,0.0856583117585659,1645,15,207
68,21,40,0.00107642626480086,374.462376913306,0.340581411182456,1942,28,383
69,4,6,0.00103305785123967,522.121506807497,0.0347591674941889,1087,8,24
70,3,1,0.000983284169124877,46.6600386135184,0.0179186563549613,651,4,7
71,1,12,0.00102459016393443,25.1852944838907,0.0991316666233156,962,9,16
72,3,3,0.000988142292490119,40.3550087023829,0.0342750551369511,666,5,9
73,0,2,0.000730994152046784,7.85281332193638,0.00170290452407145,41,2,3
74,6,10,0.00087719298245614,284.154593773949,0.0249516706425173,614,10,29
75,3,7,0.0010351966873706,198.33854066611,0.0482709864252967,1087,8,32
76,1,4,0.00098135426889107,56.5269743002835,0.0194673530002785,677,5,12
77,3,8,0.00102880658436214,58.8542150021483,0.0415561809811019,1048,9,24
78,3,3,0.000988142292490119,35.9312246000459,0.0344712125868934,697,5,13
79,0,4,0.000736377025036819,11.193961085936,0.00326437596147601,75,4,7
80,1,6,0.000820344544708778,61.6404817400196,0.0209536405062466,348,5,11
81,3,6,0.00099601593625498,260.795591659458,0.0212576197372528,711,6,19
82,1,6,0.00102774922918808,256.992405317574,0.0293885074892872,997,6,16
83,1,13,0.00105263157894737,153.06582405389,0.0790166252332214,1187,11,37
84,5,0,0.000752445447705041,445.103995109035,0.00480740224768504,81,4,6
85,1,6,0.00103305785123967,274.546521491547,0.02928925589098,1002,5,15
86,0,1,0.000565291124929339,0,0.0000716540951225328,6,1,2
87,3,9,0.0010482180293501,387.510244369739,0.0656313725346825,1209,10,33
88,16,14,0.00105485232067511,675.57255482036,0.109644227664301,1415,18,157
89,0,1,0.000720461095100865,0,0.00163424184495433,31,1,2
90,1,3,0.000978473581213307,77.9221439094526,0.019187970615087,630,4,6
91,7,11,0.00103842159916926,353.954338668079,0.0475815700255163,1256,12,84
92,17,16,0.00107296137339056,972.085034824987,0.0799758752894908,1590,18,241
93,1,2,0.000733137829912023,3.98560151825751,0.00197868506083373,41,3,4
94,6,1,0.00102040816326531,305.7537756076,0.0438144241927533,973,5,17
95,4,3,0.000978473581213307,482.507336578382,0.0180067198137796,617,5,13
96,0,12,0.00103412616339193,50.617682402631,0.0839651398735202,987,8,22
97,0,5,0.000843881856540084,179.765095962925,0.0128118346835344,372,4,8
98,16,12,0.00103305785123967,98.0851626011086,0.0885073387623416,1295,18,195
99,3,3,0.00103305785123967,48.9651049788771,0.0343347235386395,1097,6,15
100,22,7,0.00107411385606874,829.588506555512,0.0974449345032357,1511,14,176
101,9,3,0.00103842159916926,286.728788984372,0.0334968423906641,1076,7,31
102,0,6,0.00102669404517454,0,0.0555380034954859,1006,6,16
103,5,9,0.00103305785123967,460.206585987339,0.0594344801539517,1048,10,34
