RollNumber,ApplicantName,Online C,Online O
Student 268,xxxxxxxxxx,131,368
Student 269,xxxxxxxxxx,145,237
Student 270,xxxxxxxxxx,145,578
Student 271,xxxxxxxxxx,556,85
Student 272,xxxxxxxxxx,170,289
Student 273,xxxxxxxxxx,192,165
Student 274,xxxxxxxxxx,597,172
Student 275,xxxxxxxxxx,526,170
Student 276,xxxxxxxxxx,430,586
Student 277,xxxxxxxxxx,83,191
Student 278,xxxxxxxxxx,587,320
Student 279,xxxxxxxxxx,468,213
Student 280,xxxxxxxxxx,184,129
Student 281,xxxxxxxxxx,140,197
Student 282,xxxxxxxxxx,258,162
Student 283,xxxxxxxxxx,122,587
Student 284,xxxxxxxxxx,23,336
Student 285,xxxxxxxxxx,368,394
Student 286,xxxxxxxxxx,441,73
Student 287,xxxxxxxxxx,239,358
Student 288,xxxxxxxxxx,445,40
Student 289,xxxxxxxxxx,337,268
Student 290,xxxxxxxxxx,240,284
Student 291,xxxxxxxxxx,194,17
Student 292,xxxxxxxxxx,513,371
