RollNumber,ApplicantName,Online C,Online O
Student 189,xxxxxxxxxx,360,322
Student 190,xxxxxxxxxx,122,288
Student 191,xxxxxxxxxx,91,275
Student 192,xxxxxxxxxx,72,235
Student 193,xxxxxxxxxx,163,370
Student 194,xxxxxxxxxx,161,18
Student 195,xxxxxxxxxx,202,244
Student 196,xxxxxxxxxx,350,356
Student 197,xxxxxxxxxx,114,307
Student 198,xxxxxxxxxx,292,271
Student 199,xxxxxxxxxx,366,388
Student 200,xxxxxxxxxx,117,125
Student 201,xxxxxxxxxx,327,195
Student 202,xxxxxxxxxx,59,75
Student 203,xxxxxxxxxx,344,304
Student 204,xxxxxxxxxx,3,126
Student 205,xxxxxxxxxx,344,32
Student 206,xxxxxxxxxx,6,360
Student 207,xxxxxxxxxx,255,107
