Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"20/06/17, 08:21",-,-,URL: Outsourcing,URL,Course module viewed,The user with id '3266' viewed the 'url' activity with course module id '1441'.,web,192.168.99.3
"20/06/17, 08:21",-,-,URL: Why Outsourcing,URL,Course module viewed,The user with id '3266' viewed the 'url' activity with course module id '1442'.,web,192.168.99.3
"20/06/17, 08:20",-,-,URL: Outsourcing Types,URL,Course module viewed,The user with id '3266' viewed the 'url' activity with course module id '1443'.,web,192.168.99.3
"20/06/17, 08:19",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3266' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 21:24",-,-,URL: Triggers,URL,Course module viewed,The user with id '3213' viewed the 'url' activity with course module id '1446'.,web,192.168.99.3
"19/06/17, 21:24",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3213' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 19:45",-,-,File: Lecture 2 New,File,Course module viewed,The user with id '3180' viewed the 'resource' activity with course module id '3088'.,web,192.168.99.3
"19/06/17, 19:45",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3180' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 18:31",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3219' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 18:29",-,-,URL: Update Triggers,URL,Course module viewed,The user with id '3219' viewed the 'url' activity with course module id '1447'.,web,192.168.99.3
"19/06/17, 18:28",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3219' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 18:22",-,-,URL: Triggers,URL,Course module viewed,The user with id '3219' viewed the 'url' activity with course module id '1446'.,web,192.168.99.3
"19/06/17, 18:22",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3219' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 17:59",-,-,URL: Triggers,URL,Course module viewed,The user with id '3266' viewed the 'url' activity with course module id '1446'.,web,192.168.99.3
"19/06/17, 17:59",-,-,URL: Update Triggers,URL,Course module viewed,The user with id '3266' viewed the 'url' activity with course module id '1447'.,web,192.168.99.3
"19/06/17, 17:59",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3266' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 17:26",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3160' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 17:22",-,-,URL: Update Triggers,URL,Course module viewed,The user with id '3266' viewed the 'url' activity with course module id '1447'.,web,192.168.99.3
"19/06/17, 17:20",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3266' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 17:19",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3176' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 17:17",-,-,File: Trigger,System,Course activity completion updated,The user with id '3266' updated the completion state for the course module with id '12214' for the user with id '3266'.,web,192.168.99.3
"19/06/17, 17:17",-,-,File: Trigger,System,Course activity completion updated,The user with id '3266' updated the completion state for the course module with id '12214' for the user with id '3266'.,web,192.168.99.3
"19/06/17, 17:17",-,-,File: Trigger,File,Course module viewed,The user with id '3266' viewed the 'resource' activity with course module id '12214'.,web,192.168.99.3
"19/06/17, 17:15",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3160' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 17:15",-,-,File: Trigger,File,Course module viewed,The user with id '3160' viewed the 'resource' activity with course module id '12214'.,web,192.168.99.3
"19/06/17, 17:14",-,-,URL: Update Triggers,URL,Course module viewed,The user with id '3266' viewed the 'url' activity with course module id '1447'.,web,192.168.99.3
"19/06/17, 17:14",-,-,URL: Triggers,URL,Course module viewed,The user with id '3266' viewed the 'url' activity with course module id '1446'.,web,192.168.99.3
"19/06/17, 17:14",-,-,URL: Triggers,URL,Course module viewed,The user with id '3160' viewed the 'url' activity with course module id '1446'.,web,192.168.99.3
"19/06/17, 17:14",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3160' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 17:14",-,-,File: Trigger,System,Course activity completion updated,The user with id '3160' updated the completion state for the course module with id '12214' for the user with id '3160'.,web,192.168.99.3
"19/06/17, 17:14",-,-,File: Trigger,System,Course activity completion updated,The user with id '3160' updated the completion state for the course module with id '12214' for the user with id '3160'.,web,192.168.99.3
"19/06/17, 17:14",-,-,File: Trigger,File,Course module viewed,The user with id '3160' viewed the 'resource' activity with course module id '12214'.,web,192.168.99.3
"19/06/17, 17:13",-,-,URL: Trade Mark and Lincense,URL,Course module viewed,The user with id '3266' viewed the 'url' activity with course module id '1437'.,web,192.168.99.3
"19/06/17, 17:13",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3160' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 17:13",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3266' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 16:13",-,-,File: Lecture 9 New,System,Course activity completion updated,The user with id '3253' updated the completion state for the course module with id '3094' for the user with id '3253'.,web,192.168.99.3
"19/06/17, 16:13",-,-,File: Lecture 9 New,System,Course activity completion updated,The user with id '3253' updated the completion state for the course module with id '3094' for the user with id '3253'.,web,192.168.99.3
"19/06/17, 16:13",-,-,File: Lecture 9 New,File,Course module viewed,The user with id '3253' viewed the 'resource' activity with course module id '3094'.,web,192.168.99.3
"19/06/17, 16:13",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3253' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 16:11",-,-,File: Lecture 5 New,System,Course activity completion updated,The user with id '3253' updated the completion state for the course module with id '3090' for the user with id '3253'.,web,192.168.99.3
"19/06/17, 16:11",-,-,File: Lecture 5 New,System,Course activity completion updated,The user with id '3253' updated the completion state for the course module with id '3090' for the user with id '3253'.,web,192.168.99.3
"19/06/17, 16:11",-,-,File: Lecture 5 New,File,Course module viewed,The user with id '3253' viewed the 'resource' activity with course module id '3090'.,web,192.168.99.3
"19/06/17, 16:11",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3253' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 16:11",-,-,File: Lecture 10 New,System,Course activity completion updated,The user with id '3253' updated the completion state for the course module with id '3102' for the user with id '3253'.,web,192.168.99.3
"19/06/17, 16:11",-,-,File: Lecture 10 New,System,Course activity completion updated,The user with id '3253' updated the completion state for the course module with id '3102' for the user with id '3253'.,web,192.168.99.3
"19/06/17, 16:11",-,-,File: Lecture 10 New,File,Course module viewed,The user with id '3253' viewed the 'resource' activity with course module id '3102'.,web,192.168.99.3
"19/06/17, 16:11",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3253' viewed the course with id '229'.,web,192.168.99.3
"19/06/17, 16:11",-,-,URL: Outsourcing,URL,Course module viewed,The user with id '3213' viewed the 'url' activity with course module id '1441'.,web,192.168.99.3
"19/06/17, 16:11",-,-,File: Lecture 11 New,System,Course activity completion updated,The user with id '3253' updated the completion state for the course module with id '3097' for the user with id '3253'.,web,192.168.99.3
"19/06/17, 16:11",-,-,File: Lecture 11 New,System,Course activity completion updated,The user with id '3253' updated the completion state for the course module with id '3097' for the user with id '3253'.,web,192.168.99.3
"19/06/17, 16:11",-,-,File: Lecture 11 New,File,Course module viewed,The user with id '3253' viewed the 'resource' activity with course module id '3097'.,web,192.168.99.3
"19/06/17, 16:11",-,-,Course: Business Technology Management(Spring 2017 - S17 COMP 30009),System,Course viewed,The user with id '3253' viewed the course with id '229'.,web,192.168.99.3
