Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"1/07/18, 16:02",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
"1/07/18, 16:02",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
"29/06/18, 18:54",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
"29/06/18, 18:54",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
"29/06/18, 15:44",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
"29/06/18, 15:44",-,-,Forum: Announcements,Forum,Course module viewed,The user with id '1051' viewed the 'forum' activity with course module id '541'.,web,192.168.99.3
"29/06/18, 15:44",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
"29/06/18, 01:46",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
"29/06/18, 01:46",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,User list viewed,The user with id '1051' viewed the list of users in the course with id '160'.,web,192.168.99.3
"29/06/18, 01:46",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Badge listing viewed,The user with id '1051' has viewed the list of available badges for the course with the id '160'.,web,192.168.99.3
"29/06/18, 01:45",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
"29/06/18, 01:35",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,User profile viewed,The user with id '1051' viewed the profile for the user with id '1051' in the course with id '160'.,web,192.168.99.3
"29/06/18, 01:34",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),Forum,User report viewed,The user with id '1051' has viewed the user report for the user with id '1051' in the course with id '160' with viewing mode 'discussions'.,web,192.168.99.3
"29/06/18, 01:34",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),Forum,User report viewed,The user with id '1051' has viewed the user report for the user with id '1051' in the course with id '160' with viewing mode 'posts'.,web,192.168.99.3
"29/06/18, 01:34",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,User profile viewed,The user with id '1051' viewed the profile for the user with id '1051' in the course with id '160'.,web,192.168.99.3
"29/06/18, 01:33",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
"29/06/18, 01:31",-,-,Forum: Announcements,Forum,Course module viewed,The user with id '1051' viewed the 'forum' activity with course module id '541'.,web,192.168.99.3
"29/06/18, 01:31",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
"29/06/18, 01:31",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
"27/06/18, 23:50",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,User profile viewed,The user with id '1051' viewed the profile for the user with id '1051' in the course with id '160'.,web,192.168.99.3
"26/06/18, 16:41",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
"26/06/18, 16:41",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
"26/06/18, 16:41",-,-,Course: .Net Programming(Spring 2018 - S18 COMP 0335),System,Course viewed,The user with id '1051' viewed the course with id '160'.,web,192.168.99.3
