RollNumber,ApplicantName,Online C,Online O
Student 73,xxxxxxxxxx,48,87
Student 74,xxxxxxxxxx,21,121
Student 75,xxxxxxxxxx,166,92
Student 76,xxxxxxxxxx,91,161
Student 77,xxxxxxxxxx,117,0
Student 78,xxxxxxxxxx,6,142
Student 79,xxxxxxxxxx,139,130
Student 80,xxxxxxxxxx,422,86
Student 81,xxxxxxxxxx,167,83
Student 82,xxxxxxxxxx,60,117
Student 83,xxxxxxxxxx,182,100
Student 84,xxxxxxxxxx,115,72
Student 85,xxxxxxxxxx,130,77
Student 86,xxxxxxxxxx,269,44
Student 87,xxxxxxxxxx,123,52
Student 88,xxxxxxxxxx,126,261
Student 89,xxxxxxxxxx,216,43
