Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"27/06/17, 05:54",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"25/06/17, 09:02",-,-,File: Lecture 5,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3125'.,web,192.168.99.3
"25/06/17, 09:01",-,-,File: Lecture 7,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3119'.,web,192.168.99.3
"25/06/17, 08:58",-,-,File: Lecture 6,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3120'.,web,192.168.99.3
"25/06/17, 08:55",-,-,File: Lecture 8,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3118'.,web,192.168.99.3
"25/06/17, 08:55",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"25/06/17, 02:30",-,-,File: Lecture 8,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3118' for the user with id '5104'.,web,192.168.99.3
"25/06/17, 02:30",-,-,File: Lecture 8,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3118' for the user with id '5104'.,web,192.168.99.3
"25/06/17, 02:30",-,-,File: Lecture 8,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3118'.,web,192.168.99.3
"25/06/17, 02:30",-,-,File: Lecture 7,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3119' for the user with id '5104'.,web,192.168.99.3
"25/06/17, 02:30",-,-,File: Lecture 7,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3119' for the user with id '5104'.,web,192.168.99.3
"25/06/17, 02:30",-,-,File: Lecture 7,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3119'.,web,192.168.99.3
"25/06/17, 02:26",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"25/06/17, 02:26",-,-,File: Lecture 5,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3125'.,web,192.168.99.3
"25/06/17, 00:51",-,-,File: Lecture 5,System,Course activity completion updated,The user with id '3247' updated the completion state for the course module with id '3125' for the user with id '3247'.,web,192.168.99.3
"25/06/17, 00:51",-,-,File: Lecture 5,System,Course activity completion updated,The user with id '3247' updated the completion state for the course module with id '3125' for the user with id '3247'.,web,192.168.99.3
"25/06/17, 00:51",-,-,File: Lecture 5,File,Course module viewed,The user with id '3247' viewed the 'resource' activity with course module id '3125'.,web,192.168.99.3
"24/06/17, 23:44",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '3247' viewed the course with id '177'.,web,192.168.99.3
"24/06/17, 20:14",-,-,File: Lecture 4,System,Course activity completion updated,The user with id '394' updated the completion state for the course module with id '3122' for the user with id '394'.,web,192.168.99.3
"24/06/17, 20:14",-,-,File: Lecture 4,System,Course activity completion updated,The user with id '394' updated the completion state for the course module with id '3122' for the user with id '394'.,web,192.168.99.3
"24/06/17, 20:14",-,-,File: Lecture 4,File,Course module viewed,The user with id '394' viewed the 'resource' activity with course module id '3122'.,web,192.168.99.3
"24/06/17, 19:06",-,-,File: Lecture 6,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3120'.,web,192.168.99.3
"24/06/17, 18:22",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"24/06/17, 17:27",-,-,URL: Business Models on the Web,URL,Course module viewed,The user with id '394' viewed the 'url' activity with course module id '5253'.,web,192.168.99.3
"24/06/17, 16:26",-,-,File: Lecture 6,System,Course activity completion updated,The user with id '394' updated the completion state for the course module with id '3120' for the user with id '394'.,web,192.168.99.3
"24/06/17, 16:26",-,-,File: Lecture 6,System,Course activity completion updated,The user with id '394' updated the completion state for the course module with id '3120' for the user with id '394'.,web,192.168.99.3
"24/06/17, 16:26",-,-,File: Lecture 6,File,Course module viewed,The user with id '394' viewed the 'resource' activity with course module id '3120'.,web,192.168.99.3
"24/06/17, 15:55",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,User list viewed,The user with id '394' viewed the list of users in the course with id '177'.,web,192.168.99.3
"24/06/17, 15:55",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '394' viewed the course with id '177'.,web,192.168.99.3
"24/06/17, 15:16",-,-,File: Lecture 5,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3125'.,web,192.168.99.3
"24/06/17, 15:14",-,-,File: Lecture 4,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3122'.,web,192.168.99.3
"24/06/17, 15:13",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"24/06/17, 13:19",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"24/06/17, 13:18",-,-,File: Lecture 4,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3122'.,web,192.168.99.3
"24/06/17, 10:41",-,-,File: Lecture 2,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3115'.,web,192.168.99.3
"24/06/17, 10:41",-,-,File: Lecture 1,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3114'.,web,192.168.99.3
"24/06/17, 10:35",-,-,File: Lecture 8,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3118'.,web,192.168.99.3
"24/06/17, 10:35",-,-,File: Lecture 7,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3119'.,web,192.168.99.3
"24/06/17, 10:35",-,-,File: Lecture 6,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3120'.,web,192.168.99.3
"24/06/17, 10:35",-,-,File: Lecture 5,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3125'.,web,192.168.99.3
"24/06/17, 10:35",-,-,File: Lecture 4,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3122'.,web,192.168.99.3
"24/06/17, 10:35",-,-,File: Lecture 3,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3116'.,web,192.168.99.3
"24/06/17, 10:35",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5090' viewed the course with id '177'.,web,192.168.99.3
"24/06/17, 01:06",-,-,File: Lecture 4,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3122' for the user with id '5104'.,web,192.168.99.3
"24/06/17, 01:06",-,-,File: Lecture 4,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3122' for the user with id '5104'.,web,192.168.99.3
"24/06/17, 01:06",-,-,File: Lecture 4,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3122'.,web,192.168.99.3
"24/06/17, 01:04",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"23/06/17, 16:50",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"22/06/17, 21:06",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"22/06/17, 20:33",-,-,File: Lecture 3,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3116'.,web,192.168.99.3
"22/06/17, 20:33",-,-,File: Lecture 2,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3115'.,web,192.168.99.3
"22/06/17, 20:33",-,-,File: Lecture 2,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3115'.,web,192.168.99.3
"22/06/17, 20:33",-,-,File: Lecture 1,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3114' for the user with id '5104'.,web,192.168.99.3
"22/06/17, 20:33",-,-,File: Lecture 1,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3114' for the user with id '5104'.,web,192.168.99.3
"22/06/17, 20:33",-,-,File: Lecture 1,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3114'.,web,192.168.99.3
"22/06/17, 20:33",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"19/06/17, 21:03",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5090' viewed the course with id '177'.,web,192.168.99.3
"19/06/17, 21:03",-,-,Assignment: Reflections on Social media,Assignment,The status of the submission has been viewed.,The user with id '5090' has viewed the submission status page for the assignment with course module id '11792'.,web,192.168.99.3
"19/06/17, 21:02",-,-,File: Lecture 8,System,Course activity completion updated,The user with id '5090' updated the completion state for the course module with id '3118' for the user with id '5090'.,web,192.168.99.3
"19/06/17, 21:02",-,-,File: Lecture 8,System,Course activity completion updated,The user with id '5090' updated the completion state for the course module with id '3118' for the user with id '5090'.,web,192.168.99.3
"19/06/17, 21:02",-,-,File: Lecture 8,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3118'.,web,192.168.99.3
"19/06/17, 21:02",-,-,File: Lecture 7,System,Course activity completion updated,The user with id '5090' updated the completion state for the course module with id '3119' for the user with id '5090'.,web,192.168.99.3
"19/06/17, 21:02",-,-,File: Lecture 7,System,Course activity completion updated,The user with id '5090' updated the completion state for the course module with id '3119' for the user with id '5090'.,web,192.168.99.3
"19/06/17, 21:02",-,-,File: Lecture 7,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3119'.,web,192.168.99.3
"19/06/17, 21:02",-,-,File: Lecture 6,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3120'.,web,192.168.99.3
"19/06/17, 21:02",-,-,File: Lecture 5,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3125'.,web,192.168.99.3
"19/06/17, 21:02",-,-,File: Lecture 4,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3122'.,web,192.168.99.3
"19/06/17, 21:02",-,-,File: Lecture 3,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3116'.,web,192.168.99.3
"19/06/17, 21:02",-,-,File: Lecture 2,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3115'.,web,192.168.99.3
"19/06/17, 21:02",-,-,File: Lecture 1,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3114'.,web,192.168.99.3
"19/06/17, 21:02",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5090' viewed the course with id '177'.,web,192.168.99.3
"11/06/17, 22:02",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"11/06/17, 12:37",-,-,File: Lecture 3,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3116'.,web,192.168.99.3
"11/06/17, 12:37",-,-,File: Lecture 2,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3115'.,web,192.168.99.3
"11/06/17, 12:37",-,-,File: Lecture 1,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3114'.,web,192.168.99.3
"11/06/17, 12:36",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5090' viewed the course with id '177'.,web,192.168.99.3
"11/06/17, 12:20",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"11/06/17, 12:20",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5090' viewed the course with id '177'.,web,192.168.99.3
"11/06/17, 12:15",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"11/06/17, 12:15",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"11/06/17, 12:07",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"11/06/17, 12:06",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '3247' viewed the course with id '177'.,web,192.168.99.3
"11/06/17, 11:54",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"11/06/17, 11:54",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '394' viewed the course with id '177'.,web,192.168.99.3
"11/06/17, 11:45",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,User list viewed,The user with id '394' viewed the list of users in the course with id '177'.,web,192.168.99.3
"11/06/17, 11:44",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '394' viewed the course with id '177'.,web,192.168.99.3
"11/06/17, 11:25",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '3247' viewed the course with id '177'.,web,192.168.99.3
"11/06/17, 11:18",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"11/06/17, 11:18",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '3247' viewed the course with id '177'.,web,192.168.99.3
"11/06/17, 10:59",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"11/06/17, 10:59",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"11/06/17, 10:54",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"11/06/17, 10:53",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"3/06/17, 03:58",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"3/06/17, 03:57",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,Add Submission,User submission sent to Turnitin 'E commerce',web,192.168.99.3
"3/06/17, 03:57",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,Add Submission,User added submission 'E commerce',web,192.168.99.3
"3/06/17, 03:51",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"3/06/17, 02:05",-,-,File: Lecture 6,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3120' for the user with id '5104'.,web,192.168.99.3
"3/06/17, 02:05",-,-,File: Lecture 6,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3120' for the user with id '5104'.,web,192.168.99.3
"3/06/17, 02:05",-,-,File: Lecture 6,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3120'.,web,192.168.99.3
"3/06/17, 02:02",-,-,File: Lecture 5,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3125' for the user with id '5104'.,web,192.168.99.3
"3/06/17, 02:02",-,-,File: Lecture 5,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3125' for the user with id '5104'.,web,192.168.99.3
"3/06/17, 02:02",-,-,File: Lecture 5,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3125'.,web,192.168.99.3
"3/06/17, 02:00",-,-,File: Lecture 3,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3116' for the user with id '5104'.,web,192.168.99.3
"3/06/17, 02:00",-,-,File: Lecture 3,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3116' for the user with id '5104'.,web,192.168.99.3
"3/06/17, 02:00",-,-,File: Lecture 3,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3116'.,web,192.168.99.3
"3/06/17, 01:59",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"3/06/17, 01:59",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"3/06/17, 01:40",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"3/06/17, 01:39",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"3/06/17, 01:09",-,-,File: Case Study,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '10077'.,web,192.168.99.3
"3/06/17, 01:09",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"2/06/17, 21:26",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"2/06/17, 21:23",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"2/06/17, 21:22",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"2/06/17, 21:21",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,Add Submission,User submission sent to Turnitin 'case study',web,192.168.99.3
"2/06/17, 21:21",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,Add Submission,User added submission 'case study',web,192.168.99.3
"2/06/17, 21:20",-,-,Turnitin Assignment 2: Case Study,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 177,web,192.168.99.3
"2/06/17, 21:20",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '3247' viewed the course with id '177'.,web,192.168.99.3
"2/06/17, 18:49",-,-,File: Lecture 6,System,Course activity completion updated,The user with id '3247' updated the completion state for the course module with id '3120' for the user with id '3247'.,web,192.168.99.3
"2/06/17, 18:49",-,-,File: Lecture 6,System,Course activity completion updated,The user with id '3247' updated the completion state for the course module with id '3120' for the user with id '3247'.,web,192.168.99.3
"2/06/17, 18:49",-,-,File: Lecture 6,File,Course module viewed,The user with id '3247' viewed the 'resource' activity with course module id '3120'.,web,192.168.99.3
"2/06/17, 18:48",-,-,Course: E-Commerce Technologies(Spring 2017 - S17 COMP 0382),System,Course viewed,The user with id '3247' viewed the course with id '177'.,web,192.168.99.3
"1/06/17, 20:17",-,-,File: Case Study,File,Course module viewed,The user with id '2684' viewed the 'resource' activity with course module id '10077'.,web,192.168.99.3
