RollNumber,ApplicantName,Online C,Online O
Student 1,xxxxxxxxxx,239,301
Student 2,xxxxxxxxxx,18,13
Student 3,xxxxxxxxxx,54,249
Student 4,xxxxxxxxxx,253,90
Student 5,xxxxxxxxxx,77,241
Student 6,xxxxxxxxxx,354,238
Student 7,xxxxxxxxxx,9,280
Student 8,xxxxxxxxxx,94,15
Student 9,xxxxxxxxxx,86,130
Student 10,xxxxxxxxxx,308,395
Student 11,xxxxxxxxxx,2,30
Student 12,xxxxxxxxxx,301,296
Student 13,xxxxxxxxxx,110,36
Student 14,xxxxxxxxxx,21,164
Student 15,xxxxxxxxxx,106,76
Student 16,xxxxxxxxxx,156,89
Student 17,xxxxxxxxxx,380,179
Student 18,xxxxxxxxxx,163,152
