Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"5/03/18, 15:00",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '793' viewed the course with id '113'.,web,192.168.99.3
"5/02/18, 08:58",-,-,Turnitin Assignment 2: Case Study Final Submission,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 113,web,192.168.99.3
"5/02/18, 08:58",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '1397' viewed the course with id '113'.,web,192.168.99.3
"5/02/18, 08:07",-,-,Turnitin Assignment 2: Case Study Final Submission,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 113,web,192.168.99.3
"5/02/18, 08:07",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '1397' viewed the course with id '113'.,web,192.168.99.3
"1/02/18, 01:22",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '1536' viewed the course with id '113'.,web,192.168.99.3
"1/02/18, 01:21",-,-,Turnitin Assignment 2: Case Study Work Proposal,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 113,web,192.168.99.3
"1/02/18, 01:20",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '1536' viewed the course with id '113'.,web,192.168.99.3
"1/02/18, 01:18",-,-,Turnitin Assignment 2: Case Study Final Submission,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 113,web,192.168.99.3
"1/02/18, 01:18",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '1536' viewed the course with id '113'.,web,192.168.99.3
"31/01/18, 13:01",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '793' viewed the course with id '113'.,web,192.168.99.3
"29/01/18, 07:09",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '874' viewed the course with id '113'.,web,192.168.99.3
"29/01/18, 07:07",-,-,Turnitin Assignment 2: Case Study Final Submission,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 113,web,192.168.99.3
"29/01/18, 07:07",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '874' viewed the course with id '113'.,web,192.168.99.3
"29/01/18, 07:07",-,-,File: Lecture 7,File,Course module viewed,The user with id '874' viewed the 'resource' activity with course module id '2172'.,web,192.168.99.3
"29/01/18, 07:07",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '874' viewed the course with id '113'.,web,192.168.99.3
"29/01/18, 07:07",-,-,File: Lecture 8,File,Course module viewed,The user with id '874' viewed the 'resource' activity with course module id '1688'.,web,192.168.99.3
"29/01/18, 07:07",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '874' viewed the course with id '113'.,web,192.168.99.3
"29/01/18, 07:06",-,-,File: Lecture 3,File,Course module viewed,The user with id '874' viewed the 'resource' activity with course module id '1683'.,web,192.168.99.3
"29/01/18, 07:06",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '874' viewed the course with id '113'.,web,192.168.99.3
"29/01/18, 07:06",-,-,File: Lecture 2,File,Course module viewed,The user with id '874' viewed the 'resource' activity with course module id '1682'.,web,192.168.99.3
"29/01/18, 07:06",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '874' viewed the course with id '113'.,web,192.168.99.3
"29/01/18, 07:06",-,-,File: Lecture 1,File,Course module viewed,The user with id '874' viewed the 'resource' activity with course module id '1681'.,web,192.168.99.3
"29/01/18, 07:06",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '874' viewed the course with id '113'.,web,192.168.99.3
"29/01/18, 07:02",-,-,File: Lecture 2,File,Course module viewed,The user with id '874' viewed the 'resource' activity with course module id '1682'.,web,192.168.99.3
"29/01/18, 07:02",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '874' viewed the course with id '113'.,web,192.168.99.3
"29/01/18, 06:58",-,-,File: Lecture 1,File,Course module viewed,The user with id '874' viewed the 'resource' activity with course module id '1681'.,web,192.168.99.3
"29/01/18, 06:58",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '874' viewed the course with id '113'.,web,192.168.99.3
"29/01/18, 06:58",-,-,Turnitin Assignment 2: Assignment Work Proposal,Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 113,web,192.168.99.3
"29/01/18, 06:58",-,-,Course: E-Commerce Technologies(Fall 2017 - F17 COMP 0382),System,Course viewed,The user with id '874' viewed the course with id '113'.,web,192.168.99.3
"29/01/18, 06:57",-,-,URL: Business Models on the web,URL,Course module viewed,The user with id '874' viewed the 'url' activity with course module id '3885'.,web,192.168.99.3
