RollNumber,ApplicantName,Online C,Online O
Student 232,xxxxxxxxxx,299,56
Student 233,xxxxxxxxxx,461,103
Student 234,xxxxxxxxxx,388,258
Student 235,xxxxxxxxxx,30,351
Student 236,xxxxxxxxxx,299,54
Student 237,xxxxxxxxxx,288,274
Student 238,xxxxxxxxxx,323,177
Student 239,xxxxxxxxxx,165,108
Student 240,xxxxxxxxxx,177,299
Student 241,xxxxxxxxxx,376,452
Student 242,xxxxxxxxxx,497,175
Student 243,xxxxxxxxxx,226,20
Student 244,xxxxxxxxxx,14,187
Student 245,xxxxxxxxxx,89,254
Student 246,xxxxxxxxxx,53,348
Student 247,xxxxxxxxxx,252,467
Student 248,xxxxxxxxxx,325,395
Student 249,xxxxxxxxxx,182,246
Student 250,xxxxxxxxxx,36,318
Student 251,xxxxxxxxxx,195,435
Student 252,xxxxxxxxxx,352,450
Student 253,xxxxxxxxxx,107,62
Student 254,xxxxxxxxxx,19,410
Student 255,xxxxxxxxxx,261,332
Student 256,xxxxxxxxxx,266,135
Student 257,xxxxxxxxxx,25,170
Student 258,xxxxxxxxxx,264,31
Student 259,xxxxxxxxxx,182,254
Student 260,xxxxxxxxxx,233,195
Student 261,xxxxxxxxxx,497,463
Student 262,xxxxxxxxxx,313,380
Student 263,xxxxxxxxxx,254,404
Student 264,xxxxxxxxxx,2,376
Student 265,xxxxxxxxxx,200,40
Student 266,xxxxxxxxxx,155,270
Student 267,xxxxxxxxxx,189,87
