RollNumber,ApplicantName,Played,Paused,Likes,Segment
Student 52,xxxxxxxxxx,1,1,1,0
Student 53,xxxxxxxxxx,6,7,1,5
Student 54,xxxxxxxxxx,1,0,1,0
Student 55,xxxxxxxxxx,3,0,1,2
Student 56,xxxxxxxxxx,1,0,1,0
