Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"17/10/21, 12:41",-,-,Course: Object Oriented Programming(Fall 2020 - F20 COMP 0328.1),Logs,Log report viewed,The user with id '3' viewed the log report for the course with id '148'.,web,10.7.34.59
"17/10/21, 12:40",-,-,Course: Object Oriented Programming(Fall 2020 - F20 COMP 0328.1),System,Course viewed,The user with id '3' viewed the course with id '148'.,web,10.7.34.59
"17/10/21, 12:40",-,-,Course: Object Oriented Programming(Fall 2020 - F20 COMP 0328.1),System,Course viewed,The user with id '3' viewed the course with id '148'.,web,10.7.34.59
"20/05/21, 19:57",-,-,Course: Object Oriented Programming(Fall 2020 - F20 COMP 0328.1),System,Course viewed,The user with id '1014' viewed the course with id '148'.,web,192.168.99.3
"12/04/21, 21:32",-,-,Course: Object Oriented Programming(Fall 2020 - F20 COMP 0328.1),System,Course viewed,The user with id '1014' viewed the course with id '148'.,web,192.168.99.3
"12/04/21, 21:32",-,-,Assignment: Upload Activities here,Assignment,The status of the submission has been viewed.,The user with id '1014' has viewed the submission status page for the assignment with course module id '8870'.,web,192.168.99.3
"12/04/21, 21:32",-,-,Assignment: Upload Activities here,Assignment,Course module viewed,The user with id '1014' viewed the 'assign' activity with course module id '8870'.,web,192.168.99.3
"12/04/21, 21:31",-,-,Course: Object Oriented Programming(Fall 2020 - F20 COMP 0328.1),System,Course viewed,The user with id '1014' viewed the course with id '148'.,web,192.168.99.3
"7/04/21, 22:10",-,-,Course: Object Oriented Programming(Fall 2020 - F20 COMP 0328.1),System,Course viewed,The user with id '701' viewed the course with id '148'.,web,192.168.99.3
"4/04/21, 12:44",-,-,Course: Object Oriented Programming(Fall 2020 - F20 COMP 0328.1),System,User list viewed,The user with id '715' viewed the list of users in the course with id '148'.,web,192.168.99.3
"4/04/21, 12:43",-,-,Course: Object Oriented Programming(Fall 2020 - F20 COMP 0328.1),System,Course viewed,The user with id '715' viewed the course with id '148'.,web,192.168.99.3
"18/03/21, 16:06",-,-,Course: Object Oriented Programming(Fall 2020 - F20 COMP 0328.1),System,Course viewed,The user with id '1083' viewed the course with id '148'.,web,192.168.99.3
"18/03/21, 11:31",-,-,Course: Object Oriented Programming(Fall 2020 - F20 COMP 0328.1),System,Course viewed,The user with id '1021' viewed the course with id '148'.,web,192.168.99.3
"17/03/21, 13:57",-,-,File: Assignment 1,File,Course module viewed,The user with id '1021' viewed the 'resource' activity with course module id '5197'.,web,192.168.99.3
"17/03/21, 13:56",-,-,Course: Object Oriented Programming(Fall 2020 - F20 COMP 0328.1),System,Course viewed,The user with id '1021' viewed the course with id '148'.,web,192.168.99.3
