Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"17/10/21, 12:46",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),Logs,Log report viewed,The user with id '3' viewed the log report for the course with id '406'.,web,10.7.34.59
"17/10/21, 12:45",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Course viewed,The user with id '3' viewed the course with id '406'.,web,10.7.34.59
"7/10/21, 09:08",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,User list viewed,The user with id '23' viewed the list of users in the course with id '406'.,web,10.7.24.199
"7/10/21, 09:08",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Course viewed,The user with id '23' viewed the course with id '406'.,web,10.7.24.199
"11/07/21, 20:34",-,-,Turnitin Assignment 2: Draft Assignment 2 submission link,Turnitin Assignment 2,List Submissions,User viewed the list of submissions at course: 406,web,192.168.99.3
"11/07/21, 20:34",-,-,Turnitin Assignment 2: Assignment 1 - Draft Submission for feedback,Turnitin Assignment 2,List Submissions,User viewed the list of submissions at course: 406,web,192.168.99.3
"11/07/21, 20:34",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Course viewed,The user with id '3' viewed the course with id '406'.,web,192.168.99.3
"1/07/21, 10:40",-,-,URL: Core Java - Basics and Object Oriented Programming,URL,Course module viewed,The user with id '1677' viewed the 'url' activity with course module id '18848'.,web,192.168.99.3
"1/07/21, 10:38",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Course viewed,The user with id '1677' viewed the course with id '406'.,web,192.168.99.3
"30/06/21, 16:50",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Course viewed,The user with id '1677' viewed the course with id '406'.,web,192.168.99.3
"30/06/21, 16:50",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Course section updated,The user with id '1677' updated section number '15' for the course with id '406',web,192.168.99.3
"30/06/21, 16:49",-,-,Turnitin Assignment 2: Assignment 2 Submission,System,Course module updated,The user with id '1677' updated the 'turnitintooltwo' activity with course module id '9596'.,web,192.168.99.3
"30/06/21, 16:49",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Calendar event updated,The user with id '1677' updated the event 'Assignment 2 Submission - Part 1' with id '583'.,web,192.168.99.3
"30/06/21, 16:49",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Course section updated,The user with id '1677' updated section number '15' for the course with id '406',web,192.168.99.3
"30/06/21, 16:48",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Course viewed,The user with id '1677' viewed the course with id '406'.,web,192.168.99.3
"30/06/21, 16:48",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Course section updated,The user with id '1677' updated section number '7' for the course with id '406',web,192.168.99.3
"30/06/21, 16:48",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Course viewed,The user with id '1677' viewed the course with id '406'.,web,192.168.99.3
"30/06/21, 16:48",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Course section updated,The user with id '1677' updated section number '7' for the course with id '406',web,192.168.99.3
"30/06/21, 16:47",-,-,Interactive Content: Week 07 - slides and In-class activities,H5P,Course module viewed,The user with id '1677' viewed the 'hvp' activity with course module id '9561'.,web,192.168.99.3
"30/06/21, 16:46",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Course viewed,The user with id '1677' viewed the course with id '406'.,web,192.168.99.3
"30/06/21, 16:45",-,-,Course: Object Oriented Programming(Spring 2021 - S21 COMP 0328.1),System,Course viewed,The user with id '1677' viewed the course with id '406'.,web,192.168.99.3
"28/06/21, 09:34",-,-,Assignment: Marklist after moderation,Assignment,Grading table viewed,The user with id '1677' viewed the grading table for the assignment with course module id '9607'.,web,192.168.99.3
"28/06/21, 09:34",-,-,Assignment: Marklist after moderation,Assignment,Course module viewed,The user with id '1677' viewed the 'assign' activity with course module id '9607'.,web,192.168.99.3
"28/06/21, 09:34",-,-,Assignment: Marklist after moderation,Assignment,A submission has been submitted.,The user with id '1677' has submitted the submission with id '35665' for the assignment with course module id '9607'.,web,192.168.99.3
"28/06/21, 09:34",-,-,Assignment: Marklist after moderation,System,Course activity completion updated,The user with id '1677' updated the completion state for the course module with id '9607' for the user with id '1677'.,web,192.168.99.3
"28/06/21, 09:34",-,-,Assignment: Marklist after moderation,File submissions,Submission created.,The user with id '1677' created a file submission and uploaded '1' file/s in the assignment with course module id '9607'.,web,192.168.99.3
"28/06/21, 09:34",-,-,Assignment: Marklist after moderation,File submissions,A file has been uploaded.,The user with id '1677' has uploaded a file to the submission with id '35665' in the assignment activity with course module id '9607'.,web,192.168.99.3
"28/06/21, 09:34",-,-,Assignment: Marklist after moderation,Assignment,Course module viewed,The user with id '1677' viewed the 'assign' activity with course module id '9607'.,web,192.168.99.3
"28/06/21, 09:34",-,-,Assignment: Marklist after moderation,Assignment,Submission form viewed.,The user with id '1677' viewed their submission for the assignment with course module id '9607'.,web,192.168.99.3
"28/06/21, 09:34",-,-,Assignment: Marklist after moderation,Assignment,Course module viewed,The user with id '1677' viewed the 'assign' activity with course module id '9607'.,web,192.168.99.3
"28/06/21, 09:34",-,-,Assignment: Marklist after moderation,Assignment,The status of the submission has been viewed.,The user with id '1677' has viewed the submission status page for the assignment with course module id '9607'.,web,192.168.99.3
