RollNumber,ApplicantName,Online C,Online O
Student 208,xxxxxxxxxx,35,108
Student 209,xxxxxxxxxx,332,256
Student 210,xxxxxxxxxx,158,20
Student 211,xxxxxxxxxx,345,90
Student 212,xxxxxxxxxx,352,459
Student 213,xxxxxxxxxx,103,112
Student 214,xxxxxxxxxx,432,60
Student 215,xxxxxxxxxx,260,22
Student 216,xxxxxxxxxx,216,155
Student 217,xxxxxxxxxx,267,345
Student 218,xxxxxxxxxx,22,66
Student 219,xxxxxxxxxx,134,447
Student 220,xxxxxxxxxx,276,412
Student 221,xxxxxxxxxx,81,111
Student 222,xxxxxxxxxx,91,398
Student 223,xxxxxxxxxx,236,323
Student 224,xxxxxxxxxx,426,18
Student 225,xxxxxxxxxx,459,132
Student 226,xxxxxxxxxx,464,459
Student 227,xxxxxxxxxx,278,219
Student 228,xxxxxxxxxx,304,336
Student 229,xxxxxxxxxx,475,203
Student 230,xxxxxxxxxx,153,295
Student 231,xxxxxxxxxx,445,366
