Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"17/10/21, 12:44",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),Logs,Log report viewed,The user with id '3' viewed the log report for the course with id '502'.,web,10.7.34.59
"17/10/21, 12:44",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '3' viewed the course with id '502'.,web,10.7.34.59
"3/12/20, 14:10",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '126' viewed the course with id '502'.,web,192.168.99.3
"3/12/20, 13:56",-,-,File: Week 5 &amp; 6  Lab Exercises ,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '2479'.,web,192.168.99.3
"3/12/20, 13:55",-,-,URL: Polymorphism Explanantion,URL,Course module viewed,The user with id '126' viewed the 'url' activity with course module id '21384'.,web,192.168.99.3
"3/12/20, 13:55",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '126' viewed the course with id '502'.,web,192.168.99.3
"15/11/20, 10:02",-,-,File: Week 8_Inheritance,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '2483'.,web,192.168.99.3
"15/11/20, 10:00",-,-,File: Class and Object Perceptions Activity 01F19,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '2475'.,web,192.168.99.3
"15/11/20, 10:00",-,-,File: Class and Object Perceptions Activity 01F19,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '2475'.,web,192.168.99.3
"15/11/20, 09:51",-,-,File: week 9_Inheritance&amp; Super,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '2486'.,web,192.168.99.3
"15/11/20, 09:50",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '126' viewed the course with id '502'.,web,192.168.99.3
"25/10/20, 20:21",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '126' viewed the course with id '502'.,web,192.168.99.3
"25/10/20, 20:21",-,-,Folder: AIV,Folder,Course module viewed,The user with id '126' viewed the 'folder' activity with course module id '33057'.,web,192.168.99.3
"25/10/20, 20:21",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '126' viewed the course with id '502'.,web,192.168.99.3
"25/10/20, 20:21",-,-,Folder: AIV,Folder,Course module viewed,The user with id '126' viewed the 'folder' activity with course module id '30207'.,web,192.168.99.3
"25/10/20, 20:21",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '126' viewed the course with id '502'.,web,192.168.99.3
"25/10/20, 20:18",-,-,Assignment: Moderation Comments Session A,Assignment,Grading table viewed,The user with id '126' viewed the grading table for the assignment with course module id '32466'.,web,192.168.99.3
"25/10/20, 20:18",-,-,Assignment: Moderation Comments Session A,Assignment,The status of the submission has been viewed.,The user with id '126' has viewed the submission status page for the assignment with course module id '32466'.,web,192.168.99.3
"25/10/20, 20:18",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '126' viewed the course with id '502'.,web,192.168.99.3
"25/10/20, 20:18",-,-,Folder: AIV,Folder,Course module viewed,The user with id '126' viewed the 'folder' activity with course module id '33057'.,web,192.168.99.3
"25/10/20, 20:18",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '126' viewed the course with id '502'.,web,192.168.99.3
"25/10/20, 20:03",-,-,File: Class and Object Perceptions Activity 01F19,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '2475'.,web,192.168.99.3
"25/10/20, 20:03",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '126' viewed the course with id '502'.,web,192.168.99.3
"25/10/20, 09:46",-,-,File: Class and Object Perceptions Activity 01F19,System,Course activity completion updated,The user with id '126' updated the completion state for the course module with id '2475' for the user with id '126'.,web,192.168.99.3
"25/10/20, 09:46",-,-,File: Class and Object Perceptions Activity 01F19,System,Course activity completion updated,The user with id '126' updated the completion state for the course module with id '2475' for the user with id '126'.,web,192.168.99.3
"25/10/20, 09:46",-,-,File: Class and Object Perceptions Activity 01F19,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '2475'.,web,192.168.99.3
"25/10/20, 07:30",-,-,File: Week-3_ Classess and Objects,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '2472'.,web,192.168.99.3
"25/10/20, 07:30",-,-,File: OOP Implementation example,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '11702'.,web,192.168.99.3
"25/10/20, 07:30",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '126' viewed the course with id '502'.,web,192.168.99.3
"25/10/20, 07:30",-,-,File: OOP Concepts,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '11585'.,web,192.168.99.3
"25/10/20, 07:27",-,-,File: OOP Concepts,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '14589'.,web,192.168.99.3
"25/10/20, 07:27",-,-,File: Week-3_ Classess and Objects,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '2472'.,web,192.168.99.3
"25/10/20, 07:27",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '126' viewed the course with id '502'.,web,192.168.99.3
"21/10/20, 12:16",-,-,File: Week-4_Arrays_Class and Object Continues…,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '2473'.,web,192.168.99.3
"21/10/20, 11:59",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '126' viewed the course with id '502'.,web,192.168.99.3
"21/10/20, 11:21",-,-,File: Lab Exercises _ Week 1 &amp; Week 2 ,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '2471'.,web,192.168.99.3
"21/10/20, 00:13",-,-,File: Intro to OOP - Recap  ,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '2468'.,web,192.168.99.3
"21/10/20, 00:07",-,-,File: Intro to OOP - Java Basic,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '7413'.,web,192.168.99.3
"21/10/20, 00:01",-,-,File: MIG - Revised,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '19231'.,web,192.168.99.3
"20/10/20, 23:56",-,-,File: Intro to OOP - Recap  ,File,Course module viewed,The user with id '126' viewed the 'resource' activity with course module id '2468'.,web,192.168.99.3
"20/10/20, 23:55",-,-,Course: Object Oriented Programming(Spring 2020 - S20 COMP 0328.1),System,Course viewed,The user with id '126' viewed the course with id '502'.,web,192.168.99.3
