RollNumber,ApplicantName,Online C,Online O
Student 52,xxxxxxxxxx,39,23
Student 53,xxxxxxxxxx,301,35
Student 54,xxxxxxxxxx,98,6
Student 55,xxxxxxxxxx,186,12
Student 56,xxxxxxxxxx,82,11
