Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"12/07/18, 12:09",-,-,Course: E-Commerce Technologies(Spring 2018 - S18 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"12/07/18, 12:08",-,-,File: Lecture 5,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3125'.,web,192.168.99.3
"10/07/18, 11:16",-,-,File: Lecture 7,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3119'.,web,192.168.99.3
"10/07/18, 06:00",-,-,File: Lecture 6,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3120'.,web,192.168.99.3
"10/07/18, 05:59",-,-,File: Lecture 8,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3118'.,web,192.168.99.3
"10/07/18, 05:59",-,-,Course: E-Commerce Technologies(Spring 2018 - S18 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"9/07/18, 21:19",-,-,File: Lecture 8,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3118' for the user with id '5104'.,web,192.168.99.3
"8/07/18, 22:40",-,-,File: Lecture 8,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3118' for the user with id '5104'.,web,192.168.99.3
"8/07/18, 22:40",-,-,File: Lecture 8,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3118'.,web,192.168.99.3
"8/07/18, 10:33",-,-,File: Lecture 7,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3119' for the user with id '5104'.,web,192.168.99.3
"8/07/18, 10:32",-,-,File: Lecture 7,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3119' for the user with id '5104'.,web,192.168.99.3
"8/07/18, 10:03",-,-,File: Lecture 7,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3119'.,web,192.168.99.3
"8/07/18, 10:02",-,-,Course: E-Commerce Technologies(Spring 2018 - S18 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"8/07/18, 09:10",-,-,File: Lecture 5,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3125'.,web,192.168.99.3
"8/07/18, 09:10",-,-,File: Lecture 5,System,Course activity completion updated,The user with id '3247' updated the completion state for the course module with id '3125' for the user with id '3247'.,web,192.168.99.3
"8/07/18, 09:10",-,-,File: Lecture 5,System,Course activity completion updated,The user with id '3247' updated the completion state for the course module with id '3125' for the user with id '3247'.,web,192.168.99.3
"8/07/18, 09:10",-,-,File: Lecture 5,File,Course module viewed,The user with id '3247' viewed the 'resource' activity with course module id '3125'.,web,192.168.99.3
"8/07/18, 09:10",-,-,Course: E-Commerce Technologies(Spring 2018 - S18 COMP 0382),System,Course viewed,The user with id '3247' viewed the course with id '177'.,web,192.168.99.3
"8/07/18, 08:53",-,-,File: Lecture 4,System,Course activity completion updated,The user with id '394' updated the completion state for the course module with id '3122' for the user with id '394'.,web,192.168.99.3
"8/07/18, 08:53",-,-,File: Lecture 4,System,Course activity completion updated,The user with id '394' updated the completion state for the course module with id '3122' for the user with id '394'.,web,192.168.99.3
"8/07/18, 08:53",-,-,File: Lecture 4,File,Course module viewed,The user with id '394' viewed the 'resource' activity with course module id '3122'.,web,192.168.99.3
"8/07/18, 08:46",-,-,File: Lecture 6,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3120'.,web,192.168.99.3
"8/07/18, 08:46",-,-,Course: E-Commerce Technologies(Spring 2018 - S18 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"8/07/18, 08:46",-,-,URL: Business Models on the Web,URL,Course module viewed,The user with id '394' viewed the 'url' activity with course module id '5253'.,web,192.168.99.3
"8/07/18, 07:47",-,-,File: Lecture 6,System,Course activity completion updated,The user with id '394' updated the completion state for the course module with id '3120' for the user with id '394'.,web,192.168.99.3
"8/07/18, 07:47",-,-,File: Lecture 6,System,Course activity completion updated,The user with id '394' updated the completion state for the course module with id '3120' for the user with id '394'.,web,192.168.99.3
"8/07/18, 07:36",-,-,File: Lecture 6,File,Course module viewed,The user with id '394' viewed the 'resource' activity with course module id '3120'.,web,192.168.99.3
"8/07/18, 07:35",-,-,Course: E-Commerce Technologies(Spring 2018 - S18 COMP 0382),System,User list viewed,The user with id '394' viewed the list of users in the course with id '177'.,web,192.168.99.3
"8/07/18, 07:35",-,-,Course: E-Commerce Technologies(Spring 2018 - S18 COMP 0382),System,Course viewed,The user with id '394' viewed the course with id '177'.,web,192.168.99.3
"8/07/18, 07:35",-,-,File: Lecture 5,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3125'.,web,192.168.99.3
"8/07/18, 07:34",-,-,File: Lecture 4,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3122'.,web,192.168.99.3
"8/07/18, 07:34",-,-,Course: E-Commerce Technologies(Spring 2018 - S18 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"8/07/18, 07:32",-,-,Course: E-Commerce Technologies(Spring 2018 - S18 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"8/07/18, 07:32",-,-,File: Lecture 4,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3122'.,web,192.168.99.3
"8/07/18, 07:31",-,-,File: Lecture 2,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3115'.,web,192.168.99.3
"8/07/18, 07:31",-,-,File: Lecture 1,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3114'.,web,192.168.99.3
"8/07/18, 06:55",-,-,File: Lecture 8,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3118'.,web,192.168.99.3
"8/07/18, 06:54",-,-,File: Lecture 7,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3119'.,web,192.168.99.3
"8/07/18, 06:54",-,-,File: Lecture 6,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3120'.,web,192.168.99.3
"8/07/18, 03:27",-,-,File: Lecture 5,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3125'.,web,192.168.99.3
"8/07/18, 03:25",-,-,File: Lecture 4,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3122'.,web,192.168.99.3
"8/07/18, 03:25",-,-,File: Lecture 3,File,Course module viewed,The user with id '5090' viewed the 'resource' activity with course module id '3116'.,web,192.168.99.3
"8/07/18, 03:25",-,-,Course: E-Commerce Technologies(Spring 2018 - S18 COMP 0382),System,Course viewed,The user with id '5090' viewed the course with id '177'.,web,192.168.99.3
"8/07/18, 03:24",-,-,File: Lecture 4,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3122' for the user with id '5104'.,web,192.168.99.3
"8/07/18, 03:24",-,-,File: Lecture 4,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3122' for the user with id '5104'.,web,192.168.99.3
"8/07/18, 03:23",-,-,File: Lecture 4,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3122'.,web,192.168.99.3
"8/07/18, 03:23",-,-,Course: E-Commerce Technologies(Spring 2018 - S18 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"8/07/18, 03:23",-,-,Course: E-Commerce Technologies(Spring 2018 - S18 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"8/07/18, 03:23",-,-,Course: E-Commerce Technologies(Spring 2018 - S18 COMP 0382),System,Course viewed,The user with id '5104' viewed the course with id '177'.,web,192.168.99.3
"8/07/18, 03:22",-,-,File: Lecture 3,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3116'.,web,192.168.99.3
"8/07/18, 03:22",-,-,File: Lecture 2,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3115'.,web,192.168.99.3
"8/07/18, 03:21",-,-,File: Lecture 2,File,Course module viewed,The user with id '5104' viewed the 'resource' activity with course module id '3115'.,web,192.168.99.3
"8/07/18, 03:20",-,-,File: Lecture 1,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3114' for the user with id '5104'.,web,192.168.99.3
"8/07/18, 03:20",-,-,File: Lecture 1,System,Course activity completion updated,The user with id '5104' updated the completion state for the course module with id '3114' for the user with id '5104'.,web,192.168.99.3
