Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"6/05/18, 00:47",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1119' viewed the course with id '95'.,web,192.168.99.3
"6/05/18, 00:40",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1119' viewed the course with id '95'.,web,192.168.99.3
"21/02/18, 02:14",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1128' viewed the course with id '95'.,web,192.168.99.3
"16/02/18, 15:03",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1041' viewed the course with id '95'.,web,192.168.99.3
"27/01/18, 21:47",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1119' viewed the course with id '95'.,web,192.168.99.3
"23/01/18, 08:16",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1128' viewed the course with id '95'.,web,192.168.99.3
"23/01/18, 01:52",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1038' viewed the course with id '95'.,web,10.98.245.183
"22/01/18, 22:52",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1040' viewed the course with id '95'.,web,192.168.99.3
"22/01/18, 22:24",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '2953' viewed the course with id '95'.,web,192.168.99.3
"22/01/18, 22:11",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1041' viewed the course with id '95'.,web,10.98.83.59
"18/01/18, 11:36",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '812' viewed the course with id '95'.,web,192.168.99.3
"17/01/18, 12:16",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1041' viewed the course with id '95'.,web,192.168.99.3
"16/01/18, 18:15",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '2189' viewed the course with id '95'.,web,192.168.99.3
"15/01/18, 11:56",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '915' viewed the course with id '95'.,web,192.168.99.3
"15/01/18, 11:56",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '915' viewed the course with id '95'.,web,192.168.99.3
"14/01/18, 16:49",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1508' viewed the course with id '95'.,web,192.168.99.3
"14/01/18, 16:48",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1508' viewed the course with id '95'.,web,192.168.99.3
"13/01/18, 17:11",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1503' viewed the course with id '95'.,web,192.168.99.3
"13/01/18, 16:45",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1503' viewed the course with id '95'.,web,192.168.99.3
"13/01/18, 16:29",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '2189' viewed the course with id '95'.,web,192.168.99.3
"13/01/18, 16:02",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1041' viewed the course with id '95'.,web,10.98.59.252
"13/01/18, 16:02",-,-,Course: .Net Programming(Fall 2018 - F18 COMP 0335),System,Course viewed,The user with id '1041' viewed the course with id '95'.,web,10.98.59.252
"13/01/18, 14:32",-,-,Assignment: Submit Your Solutions Here,Assignment,The status of the submission has been viewed.,The user with id '1048' has viewed the submission status page for the assignment with course module id '10723'.,web,192.168.99.3
"13/01/18, 14:32",-,-,Assignment: Submit Your Solutions Here,File submissions,Submission created.,The user with id '1048' created a file submission and uploaded '1' file/s in the assignment with course module id '10723'.,web,192.168.99.3
"13/01/18, 14:32",-,-,Assignment: Submit Your Solutions Here,File submissions,A file has been uploaded.,The user with id '1048' has uploaded a file to the submission with id '20538' in the assignment activity with course module id '10723'.,web,192.168.99.3
"13/01/18, 14:31",-,-,Assignment: Submit Your Solutions Here,Assignment,Submission form viewed.,The user with id '1048' viewed their submission for the assignment with course module id '10723'.,web,192.168.99.3
"13/01/18, 14:31",-,-,Assignment: Submit Your Solutions Here,Assignment,The status of the submission has been viewed.,The user with id '1048' has viewed the submission status page for the assignment with course module id '10723'.,web,192.168.99.3
"13/01/18, 14:31",-,-,Assignment: Submit Your Solutions Here,Assignment,The status of the submission has been viewed.,The user with id '1048' has viewed the submission status page for the assignment with course module id '10723'.,web,192.168.99.3
"13/01/18, 14:30",-,-,Assignment: Submit Your Solutions Here,Assignment,The status of the submission has been viewed.,The user with id '1048' has viewed the submission status page for the assignment with course module id '10723'.,web,192.168.99.3
"13/01/18, 14:30",-,-,Assignment: Submit Your Solutions Here,Assignment,The status of the submission has been viewed.,The user with id '1048' has viewed the submission status page for the assignment with course module id '10723'.,web,192.168.99.3
