RollNumber,ApplicantName,Played,Paused,Likes,Segment
Student 268,xxxxxxxxxx,3,4,1,2
Student 269,xxxxxxxxxx,2,3,2,5
Student 270,xxxxxxxxxx,2,4,3,1
Student 271,xxxxxxxxxx,2,2,1,2
Student 272,xxxxxxxxxx,4,2,1,0
Student 273,xxxxxxxxxx,5,5,2,3
Student 274,xxxxxxxxxx,1,5,2,4
Student 275,xxxxxxxxxx,1,3,1,0
Student 276,xxxxxxxxxx,0,4,0,0
Student 277,xxxxxxxxxx,0,3,1,1
Student 278,xxxxxxxxxx,1,3,3,0
Student 279,xxxxxxxxxx,0,3,0,4
Student 280,xxxxxxxxxx,1,1,3,2
Student 281,xxxxxxxxxx,0,4,3,3
Student 282,xxxxxxxxxx,2,1,0,4
Student 283,xxxxxxxxxx,0,1,0,4
Student 284,xxxxxxxxxx,0,2,2,2
Student 285,xxxxxxxxxx,1,1,2,4
Student 286,xxxxxxxxxx,5,5,1,4
Student 287,xxxxxxxxxx,5,5,0,0
Student 288,xxxxxxxxxx,3,3,2,5
Student 289,xxxxxxxxxx,1,2,1,0
Student 290,xxxxxxxxxx,3,0,0,5
Student 291,xxxxxxxxxx,2,2,0,0
Student 292,xxxxxxxxxx,1,0,2,2
