Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"7/07/18, 18:15",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1181' viewed the course with id '165'.,web,192.168.99.3
"7/07/18, 18:15",-,-,Turnitin Assignment 2: Assignment 2 (Final Submission),Turnitin Assignment 2,List Submissions,User viewed their submission inbox at course: 165,web,192.168.99.3
"7/07/18, 18:15",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1181' viewed the course with id '165'.,web,192.168.99.3
"20/06/18, 07:11",-,-,File: Lecture10,File,Course module viewed,The user with id '1166' viewed the 'resource' activity with course module id '11103'.,web,192.168.99.3
"20/06/18, 07:11",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1166' viewed the course with id '165'.,web,192.168.99.3
"20/06/18, 07:10",-,-,File: Lecture11,File,Course module viewed,The user with id '1166' viewed the 'resource' activity with course module id '11102'.,web,192.168.99.3
"20/06/18, 07:10",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1166' viewed the course with id '165'.,web,192.168.99.3
"20/06/18, 07:10",-,-,URL: Triggers,URL,Course module viewed,The user with id '1166' viewed the 'url' activity with course module id '11126'.,web,192.168.99.3
"20/06/18, 07:10",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1166' viewed the course with id '165'.,web,192.168.99.3
"20/06/18, 07:10",-,-,File: Lecture12,File,Course module viewed,The user with id '1166' viewed the 'resource' activity with course module id '11101'.,web,192.168.99.3
"20/06/18, 07:10",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1166' viewed the course with id '165'.,web,192.168.99.3
"20/06/18, 07:10",-,-,File: Lecture13,File,Course module viewed,The user with id '1166' viewed the 'resource' activity with course module id '11105'.,web,192.168.99.3
"20/06/18, 07:10",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1166' viewed the course with id '165'.,web,192.168.99.3
"20/06/18, 07:09",-,-,File: Lecture5,File,Course module viewed,The user with id '1166' viewed the 'resource' activity with course module id '11097'.,web,192.168.99.3
"20/06/18, 07:08",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1166' viewed the course with id '165'.,web,192.168.99.3
"20/06/18, 07:08",-,-,File: Lecture6,File,Course module viewed,The user with id '1166' viewed the 'resource' activity with course module id '11098'.,web,192.168.99.3
"20/06/18, 07:08",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1166' viewed the course with id '165'.,web,192.168.99.3
"20/06/18, 07:08",-,-,File: Lecture8,File,Course module viewed,The user with id '1166' viewed the 'resource' activity with course module id '11100'.,web,192.168.99.3
"20/06/18, 07:08",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1166' viewed the course with id '165'.,web,192.168.99.3
"20/06/18, 07:08",-,-,File: Lecture9,File,Course module viewed,The user with id '1166' viewed the 'resource' activity with course module id '11104'.,web,192.168.99.3
"20/06/18, 07:08",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1166' viewed the course with id '165'.,web,192.168.99.3
"19/06/18, 22:55",-,-,File: Lecture11,File,Course module viewed,The user with id '1166' viewed the 'resource' activity with course module id '11102'.,web,192.168.99.3
"19/06/18, 22:54",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1166' viewed the course with id '165'.,web,192.168.99.3
"19/06/18, 22:54",-,-,File: CW Questionnaire,File,Course module viewed,The user with id '1166' viewed the 'resource' activity with course module id '4283'.,web,192.168.99.3
"19/06/18, 22:54",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1166' viewed the course with id '165'.,web,192.168.99.3
"19/06/18, 16:28",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1166' viewed the course with id '165'.,web,192.168.99.3
"19/06/18, 16:27",-,-,File: Lecture9,File,Course module viewed,The user with id '1166' viewed the 'resource' activity with course module id '11104'.,web,192.168.99.3
"19/06/18, 16:27",-,-,Course: Business Technology Management(Fall 2017 - F17 COMP 30009),System,Course viewed,The user with id '1166' viewed the course with id '165'.,web,192.168.99.3
