RollNumber,ApplicantName,Online C,Online O
Student 90,xxxxxxxxxx,104,85
Student 91,xxxxxxxxxx,73,240
Student 92,xxxxxxxxxx,113,240
Student 93,xxxxxxxxxx,24,19
Student 94,xxxxxxxxxx,25,169
Student 95,xxxxxxxxxx,5,3
Student 96,xxxxxxxxxx,113,196
Student 97,xxxxxxxxxx,246,195
Student 98,xxxxxxxxxx,123,27
Student 99,xxxxxxxxxx,304,233
Student 100,xxxxxxxxxx,134,0
Student 101,xxxxxxxxxx,167,55
Student 102,xxxxxxxxxx,299,139
Student 103,xxxxxxxxxx,66,30
Student 104,xxxxxxxxxx,319,264
Student 105,xxxxxxxxxx,19,394
Student 106,xxxxxxxxxx,345,363
Student 107,xxxxxxxxxx,209,259
Student 108,xxxxxxxxxx,145,151
Student 109,xxxxxxxxxx,214,221
Student 110,xxxxxxxxxx,94,172
Student 111,xxxxxxxxxx,212,273
Student 112,xxxxxxxxxx,171,115
Student 113,xxxxxxxxxx,328,80
Student 114,xxxxxxxxxx,187,311
Student 115,xxxxxxxxxx,115,248
Student 116,xxxxxxxxxx,76,51
Student 117,xxxxxxxxxx,233,16
Student 118,xxxxxxxxxx,107,183
Student 119,xxxxxxxxxx,167,178
Student 120,xxxxxxxxxx,184,87
Student 121,xxxxxxxxxx,260,136
Student 122,xxxxxxxxxx,14,293
Student 123,xxxxxxxxxx,352,314
Student 124,xxxxxxxxxx,233,248
