Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"17/10/21, 12:43",-,-,Course: Object Oriented Programming(Spring 2019 - S19 COMP 0328.1),Logs,Log report viewed,The user with id '1333' viewed the log report for the course with id '158'.,web,10.7.34.59
"17/10/21, 12:43",-,-,Course: Object Oriented Programming(Spring 2019 - S19 COMP 0328.1),System,Course viewed,The user with id '1333' viewed the course with id '158'.,web,10.7.34.59
"2/03/21, 19:59",-,-,Course: Object Oriented Programming(Spring 2019 - S19 COMP 0328.1),Logs,Log report viewed,The user with id '1832' viewed the log report for the course with id '158'.,web,192.168.99.3
"2/03/21, 19:59",-,-,Course: Object Oriented Programming(Spring 2019 - S19 COMP 0328.1),Logs,Log report viewed,The user with id '1832' viewed the log report for the course with id '158'.,web,192.168.99.3
"2/03/21, 19:58",-,-,Course: Object Oriented Programming(Spring 2019 - S19 COMP 0328.1),System,Course viewed,The user with id '1832' viewed the course with id '158'.,web,192.168.99.3
"2/03/21, 19:30",-,-,Course: Object Oriented Programming(Spring 2019 - S19 COMP 0328.1),System,Course viewed,The user with id '1333' viewed the course with id '158'.,web,192.168.99.3
"2/03/21, 19:30",-,-,Course: Object Oriented Programming(Spring 2019 - S19 COMP 0328.1),System,User list viewed,The user with id '1333' viewed the list of users in the course with id '158'.,web,192.168.99.3
"2/03/21, 19:30",-,-,Course: Object Oriented Programming(Spring 2019 - S19 COMP 0328.1),System,Role assigned,The user with id '1333' assigned the role with id '9' to the user with id '1832'.,web,192.168.99.3
"2/03/21, 19:30",-,-,Course: Object Oriented Programming(Spring 2019 - S19 COMP 0328.1),System,User enrolled in course,The user with id '1333' enrolled the user with id '1832' using the enrolment method 'manual' in the course with id '158'.,web,192.168.99.3
"2/03/21, 19:30",-,-,Course: Object Oriented Programming(Spring 2019 - S19 COMP 0328.1),System,User list viewed,The user with id '1333' viewed the list of users in the course with id '158'.,web,192.168.99.3
"2/03/21, 19:30",-,-,Course: Object Oriented Programming(Spring 2019 - S19 COMP 0328.1),System,Course viewed,The user with id '1333' viewed the course with id '158'.,web,192.168.99.3
"25/09/19, 14:21",-,-,Course: Object Oriented Programming(Spring 2019 - S19 COMP 0328.1),System,Course viewed,The user with id '1739' viewed the course with id '158'.,web,10.3.16.204
"21/08/19, 18:07",-,-,File: Week6,File,Course module viewed,The user with id '1782' viewed the 'resource' activity with course module id '2435'.,web,10.3.11.235
"21/08/19, 18:06",-,-,File: Week6,File,Course module viewed,The user with id '1782' viewed the 'resource' activity with course module id '2435'.,web,10.3.11.235
"21/08/19, 18:06",-,-,File: Week7,File,Course module viewed,The user with id '1782' viewed the 'resource' activity with course module id '2438'.,web,10.3.11.235
"21/08/19, 18:05",-,-,File: Week8,File,Course module viewed,The user with id '1782' viewed the 'resource' activity with course module id '2441'.,web,10.3.11.235
